Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,550,630,791,849,865,780,821,911,1098,1181,1115,1226
Expenses,237,255,505,272,324,336,360,346,401,456,452,454
Operating Profit,313,375,286,577,541,444,461,566,697,725,663,773
OPM %,57,60,36,68,63,57,56,62,63,61,59,63
Other Income,73,41,260,-1,28,154,101,69,9,39,54,47
Interest,146,167,207,214,232,222,218,229,254,296,312,354
Depreciation,14,14,17,16,17,17,20,32,39,41,43,42
Profit before tax,227,235,323,345,319,359,324,374,413,427,363,424
Tax %,18,18,25,29,23,23,23,24,24,23,20,22
Net Profit,186,192,243,244,245,276,250,285,315,327,289,331
EPS in Rs,5.2,5.36,6.76,6.72,6.73,7.12,6.35,7.04,7.79,8.08,7.11,8.13
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,1705,1578,1521,1654,2072,2057,2921,3684,4470,4621,,
Expenses,652,589,698,715,915,766,1216,1292,1655,1763,,
Operating Profit,1053,990,823,939,1157,1291,1705,2391,2815,2858,,
OPM %,62,63,54,57,56,63,58,65,63,62,,
Other Income,10,1,6,2,6,5,4,-87,7,149,,
Interest,559,431,502,414,370,399,643,887,1090,1216,,
Depreciation,14,22,41,43,42,46,57,71,155,165,,
Profit before tax,490,538,286,485,751,850,1009,1347,1577,1627,,
Tax %,22,30,30,24,23,23,20,25,23,—,,
Net Profit,380,375,201,369,578,658,804,1015,1216,1262,,
EPS in Rs,—,—,5.77,10.5,16.28,18.48,22.41,25.83,29.94,31.11,,
Dividend Payout %,19,23,87,167,84,373,74,23,40,—,,
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,
---,---,---,---,---,---,---,---,---,---,,,
Equity Capital,16,17,17,18,18,36,36,39,41,,,
Reserves,1847,2894,2974,2810,3006,3086,3414,7026,9795,,,
Borrowings,6966,6103,8838,5077,5808,6784,9472,11160,15931,,,
Other Liabilities,737,749,1191,834,1903,1285,2193,1543,1433,,,
Total Liabilities,9567,9763,13021,8739,10734,11191,15114,19768,27199,,,
Fixed Assets,31,337,608,837,816,880,940,1281,3969,,,
CWIP,22,173,1,2,0,39,64,88,0,,,
Investments,1111,3053,6512,2513,4072,3609,5948,7608,8842,,,
Other Assets,8403,6200,5899,5386,5846,6663,8163,10791,14387,,,
Total Assets,9567,9763,13021,8739,10734,11191,15114,19768,27199,,,
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,
---,---,---,---,---,---,---,---,---,---,,,
Cash from Operating Activity,-2772,1852,1628,463,929,-1323,-470,-2462,-2921,,,
Cash from Investing Activity,1073,-2133,-3361,4128,-1128,788,-1574,-990,-1607,,,
Cash from Financing Activity,1263,-80,2290,-4836,251,556,1978,3749,4357,,,
Net Cash Flow,-437,-362,557,-245,52,21,-67,297,-171,,,
Free Cash Flow,-2809,1643,1536,437,912,-1395,-571,-2509,-3017,,,
CFO/OP,-251,203,213,62,98,-84,-12,-90,-86,,,
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,
---,---,---,---,---,---,---,---,---,---,,,
Debtor Days,42,68,58,50,47,54,41,44,41,,,
Inventory Days,—,—,—,—,—,—,0,—,—,,,
Cash Conversion Cycle,42,68,58,50,47,54,41,44,41,,,
Working Capital Days,-1010,-84,-18,17,-166,-41,-121,-17,44,,,
ROCE %,—,11,8,9,13,13,14,15,12,,,
