Item,Indicator,Value,Signal
,SMA (10),1133.41,Sell
,EMA (10),1126.33,Sell
,SMA (20),1162.71,Sell
,EMA (20),1144.53,Sell
,SMA (50),1146.22,Sell
,EMA (50),1142.81,Sell
,SMA (100),1118.26,Sell
,EMA (100),1126.85,Sell
,SMA (200),1112.4,Sell
,EMA (200),1107.59,Sell
,Indicator,Value,Signal
,---,---,---
,RSI (14),34.26,Neutral
,"MACD (12,26,9)",-15.34,Sell
,"Stochastic (14,3,3)",9.75,Buy
,ADX (14),24.98,Neutral
,Williams %R (14),-83.53,Buy
,ATR (14),30.09,Neutral
,ROC (12),-8.87,Sell
,Stoch RSI (14),5.84,Buy
,"UO (7,14,28)",44.89,Neutral
