Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Revenue,7607,8800,10780,8673,10322,9381,12214,9503,10595,11952,13459,12180
Expenses,4798,5764,7182,5458,6604,5876,8419,5652,6594,7645,8924,7221
Financing Profit,982,1039,1476,971,1348,1009,1210,1114,1197,1326,1434,1569
Financing Margin %,13,12,14,11,13,11,10,12,11,11,11,13
Other Income,70,60,183,150,124,85,219,139,92,72,89,153
Interest,1827,1997,2122,2244,2369,2496,2585,2736,2804,2981,3101,3390
Depreciation,46,50,52,54,60,64,68,71,77,76,82,82
Profit before tax,1006,1050,1606,1067,1413,1030,1361,1182,1212,1322,1441,1641
Tax %,28,28,20,27,28,30,35,28,27,27,27,25
Net Profit,725,760,1288,779,1021,724,886,854,882,966,1047,1224
EPS in Rs,2.71,2.83,4.79,2.92,3.84,2.72,3.32,3.21,3.27,3.61,3.86,4.3
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Revenue,11526,15168,16696,19260,22232,30163,33958,40632,45513,48186,,
Expenses,7539,9850,10934,13966,16694,19972,21978,26357,28815,30383,,
Financing Profit,963,1208,1128,1378,2058,5469,4364,4581,5076,5527,,
Financing Margin %,8,8,7,7,9,18,13,11,11,11,,
Other Income,177,230,254,282,351,311,390,508,502,405,,
Interest,3024,4109,4634,3916,3480,4722,7617,9694,11622,12276,,
Depreciation,44,58,103,114,122,145,188,246,307,317,,
Profit before tax,1096,1381,1280,1546,2287,5635,4566,4843,5271,5616,,
Tax %,37,41,32,28,27,14,25,30,27,—,,
Net Profit,693,811,866,1106,1660,4824,3439,3382,3864,4119,,
EPS in Rs,3.15,3.96,3.81,4.66,7.06,19.83,12.83,12.97,14.75,15.04,,
Dividend Payout %,0,0,0,0,0,0,0,0,0,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,1232,2201,2201,2414,2415,2416,2418,2600,2607,2620,,
Reserves,5378,6337,7311,10162,11327,13076,17893,24217,27782,31804,,
Borrowing,33215,44516,56324,55966,53044,58425,84738,110139,140009,179538,,
Other Liabilities,38316,40502,43633,44978,57698,66897,75304,94667,108245,121005,,
Total Liabilities,78141,93556,109470,113520,124485,140815,180353,231623,278643,334966,,
Fixed Assets,778,837,892,1181,1259,1305,1279,1652,1929,1998,,
CWIP,35,33,34,74,45,45,44,94,122,114,,
Investments,11760,39573,43955,48415,57703,67355,80383,99539,112953,125116,,
Other Assets,65569,53113,64589,63850,65478,72110,98647,130338,163639,207738,,
Total Assets,78141,93556,109470,113520,124485,140815,180353,231623,278643,334966,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,-7570,-11894,-10256,4271,64,-5070,-24029,-24100,-27935,-36544,,
Cash from Investing Activity,-1623,38,-690,-3070,2429,-1446,-2675,-4590,933,-3544,,
Cash from Financing Activity,9870,12006,10852,875,-2581,5836,26385,28514,29778,38161,,
Net Cash Flow,678,150,-94,2076,-88,-679,-318,-176,2776,-1927,,
Free Cash Flow,-7688,-12049,-10413,4117,-84,-5247,-24268,-24499,-28382,-36905,,
CFO/OP,-211,-288,-181,85,8,-78,-230,-194,-185,-212,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
ROE %,11,9,10,8,9,12,27,14,12,12,,
