Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,673,753,836,734,757,875,961,652,744,855,1029,786
Expenses,584,650,706,636,648,740,797,559,635,725,857,668
Operating Profit,89,103,130,99,109,135,164,93,109,130,172,118
OPM %,13,14,16,13,14,15,17,14,15,15,17,15
Other Income,17,23,21,28,34,30,8,51,29,36,-6,55
Interest,4,6,11,7,9,8,4,8,6,5,3,5
Depreciation,5,6,7,7,7,7,7,8,9,9,10,9
Profit before tax,97,114,133,112,127,149,161,128,124,152,153,158
Tax %,24,23,26,25,25,25,26,23,27,23,28,25
Net Profit,74,88,98,84,95,112,119,98,90,116,111,119
EPS in Rs,6.21,7.41,8.27,7.07,7.96,9.38,9.96,8.21,7.56,9.78,9.31,10.03
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,1087,1343,1156,1227,1630,2160,2914,3327,3280,3414,,
Expenses,995,1245,1065,1108,1478,1939,2510,2821,2776,2885,,
Operating Profit,92,98,92,119,151,221,404,506,504,529,,
OPM %,8,7,8,10,9,10,14,15,15,16,,
Other Income,8,10,4,15,11,41,77,100,110,114,,
Interest,14,12,15,12,10,10,23,29,22,19,,
Depreciation,12,12,13,14,15,18,23,28,35,36,,
Profit before tax,74,84,68,108,137,234,434,549,557,587,,
Tax %,30,33,23,26,24,26,24,25,25,—,,
Net Profit,52,56,52,80,105,173,328,409,415,437,,
EPS in Rs,4.44,4.78,4.63,7.03,8.82,14.41,27.56,34.36,34.86,36.68,,
Dividend Payout %,11,10,11,7,7,7,7,139,137,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,23,23,23,23,23,24,24,24,24,24,,
Reserves,311,359,414,420,501,730,895,1206,1591,1987,,
Borrowings,114,78,53,82,55,31,7,4,16,8,,
Other Liabilities,229,356,396,429,477,497,674,934,1079,1232,,
Total Liabilities,677,817,887,954,1055,1282,1600,2169,2710,3251,,
Fixed Assets,346,337,341,412,429,452,487,580,716,781,,
CWIP,7,5,8,19,13,24,24,44,29,49,,
Investments,18,35,45,28,31,179,349,594,918,1283,,
Other Assets,305,439,493,494,582,627,739,951,1048,1138,,
Total Assets,677,817,887,954,1055,1282,1600,2169,2710,3251,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,76,89,72,48,86,104,274,433,412,417,,
Cash from Investing Activity,-17,-35,-27,-20,-16,-201,-218,-368,-382,-350,,
Cash from Financing Activity,-57,-53,-44,-33,-40,71,-41,-39,-29,-52,,
Net Cash Flow,2,1,2,-5,30,-27,16,27,1,15,,
Free Cash Flow,61,59,49,10,70,59,238,268,206,330,,
CFO/OP,204,114,96,70,93,90,154,133,108,114,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,51,57,39,47,67,42,29,21,29,32,,
Inventory Days,78,69,79,124,113,104,99,100,83,100,,
Days Payable,102,112,105,147,141,129,119,124,130,151,,
Cash Conversion Cycle,27,14,14,24,39,18,9,-4,-18,-20,,
Working Capital Days,-10,1,4,2,11,18,-2,-17,-21,-26,,
ROCE %,8,19,20,16,21,21,26,42,40,32,,
