Item,Indicator,Value,Signal
,SMA (10),1117.77,Buy
,EMA (10),1124.83,Buy
,SMA (20),1138.08,Sell
,EMA (20),1121.52,Buy
,SMA (50),1080.28,Buy
,EMA (50),1082.36,Buy
,SMA (100),1000.03,Buy
,EMA (100),1030.32,Buy
,SMA (200),946.13,Buy
,EMA (200),1009.53,Buy
,Indicator,Value,Signal
,---,---,---
,RSI (14),53.33,Neutral
,"MACD (12,26,9)",9.55,Sell
,"Stochastic (14,3,3)",44.34,Neutral
,ADX (14),27.33,Buy
,Williams %R (14),-52.08,Neutral
,ATR (14),40.18,High Volatility
,ROC (12),-2.59,Sell
,Stoch RSI (14),47.94,Neutral
,"UO (7,14,28)",42.87,Neutral
