Item,Date,Document
,"9 Mar - GEDA issued commissioning certificate for 4 MW of 100 MW Garambhadi wind project on March 09, 2026.","[Receipt Of Certificate Of Commissioning Of 4 MW Capacity Of Wind Power Project. 9 Mar - GEDA issued commissioning certificate for 4 MW of 100 MW Garambhadi wind project on March 09, 2026.](https://www.bseindia.com/xml-data/corpfiling/AttachHis/f446b74b-db13-4fc7-a916-753e3b65d1d1.pdf)"
,"8h - On Mar 26, 2026 commissioned 4 MW at Dhakaniya, Gujarat; 92/100 MW commissioned.","[Update On Commissioning Of Additional 4 MW Capacity Of Wind Power Project In Gujarat. 8h - On Mar 26, 2026 commissioned 4 MW at Dhakaniya, Gujarat; 92/100 MW commissioned.](https://www.bseindia.com/xml-data/corpfiling/AttachLive/6ba8691c-5bea-4966-a0e8-71b15537382a.pdf)"
,8 May - Investor Presentation on Q4 and FY26 results,[Announcement under Regulation 30 (LODR)-Investor Presentation 8 May - Investor Presentation on Q4 and FY26 results](https://www.bseindia.com/xml-data/corpfiling/AttachLive/8a0415b4-342b-441b-a1d4-a553c965407e.pdf)
,"8 May - Board approved FY26 audited results, appointed Arun Chopra CFO from May 8, 2026, and noted Rajat Singh's resignation.","[Financial Results For The Quarter And Financial Year Ended March 31, 2026 8 May - Board approved FY26 audited results, appointed Arun Chopra CFO from May 8, 2026, and noted Rajat Singh's resignation.](https://www.bseindia.com/xml-data/corpfiling/AttachLive/1efc00ba-490f-4205-ab9c-9651a282b734.pdf)"
,"7h - Of interaction with Investors / Analysts from May 11- 14, 2026","[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation 7h - Of interaction with Investors / Analysts from May 11- 14, 2026](https://www.bseindia.com/xml-data/corpfiling/AttachLive/c9740061-1b34-49b9-a2ae-e24527d8032c.pdf)"
,"7h - ACME Suryodaya commissioned fifth BESS phase of 76 MW/160.512 MWh in Rajasthan; COD April 8, 2026.","[Update On Commissioning Of Fifth Phase Of 76 MW Capacity Of Battery Energy Storage System (BESS) Project In Rajasthan. 7h - ACME Suryodaya commissioned fifth BESS phase of 76 MW/160.512 MWh in Rajasthan; COD April 8, 2026.](https://www.bseindia.com/xml-data/corpfiling/AttachLive/75362375-1a84-4f37-a5d7-58f9ea74ecf3.pdf)"
,"6h - Commissioned 35.714 MW/160.48 MWh BESS phase-II; COD March 26, 2026; total 95.714 MW/430.086 MWh operational.","[Commissioning Of Second Phase Of 35.714 MW Capacity Of Battery Energy Storage System (BESS) Project At Jaimalsar, Bikaner, Rajasthan 6h - Commissioned 35.714 MW/160.48 MWh BESS phase-II; COD March 26, 2026; total 95.714 MW/430.086 MWh operational.](https://www.bseindia.com/xml-data/corpfiling/AttachLive/bc987963-a9a2-4220-9057-4949b99b913a.pdf)"
,"6h - ACME Sun Power commissioned fifth BESS phase of 33.334 MW/160.48 MWh; COD April 8, 2026.","[Update On Commissioning Of Fifth Phase Of 33.334 MW Capacity Of Battery Energy Storage System (BESS) Project In Rajasthan. 6h - ACME Sun Power commissioned fifth BESS phase of 33.334 MW/160.48 MWh; COD April 8, 2026.](https://www.bseindia.com/xml-data/corpfiling/AttachLive/2ac2a281-08ed-4961-8102-21e1c80a2f53.pdf)"
,"6h - ACME Solar subsidiary commissioned 4 MW more of its 100 MW Gujarat wind project, reaching 96 MW.","[Update On Commissioning Of Additional 4 MW Out Of 100 MW Capacity Of Wind Power Project In Gujarat. 6h - ACME Solar subsidiary commissioned 4 MW more of its 100 MW Gujarat wind project, reaching 96 MW.](https://www.bseindia.com/xml-data/corpfiling/AttachLive/003c4755-fd48-42a3-9358-92d422a87eb0.pdf)"
,"6h - ACME Solar incorporated WOS ACME Greentech Twenty One Private Limited on May 11, 2026 for renewable projects.","[Announcement under Regulation 30 (LODR)-Acquisition 6h - ACME Solar incorporated WOS ACME Greentech Twenty One Private Limited on May 11, 2026 for renewable projects.](https://www.bseindia.com/xml-data/corpfiling/AttachLive/535eaf16-525a-4fd0-800d-6c30e05b660a.pdf)"
,Date,Document
,---,---
,2026-09-10,[Announcement under Regulation 30 (LODR)-Acquisition](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=387e3aef-2d54-4a4a-9079-b04f3bc0ca7c.pdf)
,2026-09-07,[Announcement under Regulation 30 (LODR)-Newspaper Publication](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=ff17023e-5a64-4feb-854b-34e7e104d604.pdf)
,2026-09-03,[Reg. 34 (1) Annual Report.](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=6cef4954-96a7-4174-9ba6-3dd9b635c432.pdf)
,2026-09-03,[Annual Report And Notice Of 11Th Annual General Meeting For The Financial Year 2025-26 To Be Held Through Video Conferencing (VC)/Other Audio-Visual Means (OAVM)](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=1a9755be-4053-438a-aa9c-3caee6971658.pdf)
,2026-09-03,[Business Responsibility and Sustainability Reporting (BRSR)](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=6d055e5b-a225-4da7-ad82-39421f3c1d40.pdf)
,2026-09-03,[Intimation Regarding Letter Dispatched To Shareholders For Annual Report Of The Company For Financial Year 2025-26](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=076ca1db-4c3a-4686-997e-6bc206b86a4f.pdf)
,2026-09-02,[Announcement under Regulation 30 (LODR)-Newspaper Publication](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=157ca440-69f0-4182-b718-c9c3912b2a5d.pdf)
,2026-09-01,[Board Meeting Outcome for Outcome Of The Meeting Of The Board Of Directors Of ACME Solar Holdings Limited Held On September 01 2026](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=851e40c2-154f-4253-8362-99eff5a4ca38.pdf)
,2026-09-01,[Announcement under Regulation 30 (LODR)-Appointment of Statutory Auditor/s](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=22fbfa40-55c9-4ce4-8c45-0bde7dad297a.pdf)
,2026-08-28,[Announcement under Regulation 30 (LODR)-Award_of_Order_Receipt_of_Order](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=25ccd8e3-74ed-4410-a87c-d67a5b414751.pdf)
,Date,Document
,---,---
,2026-08-04,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=53865f49-af5a-448f-a55d-c0e4374466c0.pdf)
,2026-05-14,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=15e795ed-10b7-488c-b0c9-a798ed33d8cc.pdf)
,2026-02-04,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=aa5994ce-088c-448d-bee4-1a8bacdd2459.pdf)
,Date,Document
,---,---
,2026-07-30,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=7d4063b5-f809-42b7-a83a-f32c3b8f72ff.pdf)
,2026-01-30,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=c6145129-f4d7-49c5-b7d5-80f74876cc41.pdf)
,Date,Document
,---,---
,2026-07-29,[Financial Results For The Quarter Ended June 30 2026.](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=26708031-40a6-4881-a41b-a250c78afbb4.pdf)
,2026-05-08,[Financial Results For The Quarter And Financial Year Ended March 31 2026](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=1efc00ba-490f-4205-ab9c-9651a282b734.pdf)
,2026-01-29,[Financial Results For The Quarter Ended December 31 2025](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=5a528383-0d41-4929-9e23-d9d0b1199136.pdf)
,Date,Document
,---,---
,2026-07-29,[Announcement under Regulation 30 (LODR)-Investor Presentation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=bec2f929-44f7-4a48-8169-4868dff771f1.pdf)
,2026-05-08,[Announcement under Regulation 30 (LODR)-Investor Presentation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=8a0415b4-342b-441b-a1d4-a553c965407e.pdf)
,2026-01-29,[Announcement under Regulation 30 (LODR)-Investor Presentation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=b6623072-e69d-4b12-8b8c-1c9bae70a6be.pdf)
,Date,Document
,---,---
,May 2026,[Concall - May 2026](https://www.bseindia.com/xml-data/corpfiling/AttachHis/15e795ed-10b7-488c-b0c9-a798ed33d8cc.pdf)
,May 2026,[Concall - May 2026](https://www.bseindia.com/xml-data/corpfiling/AttachLive/15e795ed-10b7-488c-b0c9-a798ed33d8cc.pdf)
,May 2026,[Concall - May 2026](https://www.bseindia.com/xml-data/corpfiling/AttachHis/8a0415b4-342b-441b-a1d4-a553c965407e.pdf)
,Feb 2026,[Concall - Feb 2026](https://www.bseindia.com/xml-data/corpfiling/AttachHis/aa5994ce-088c-448d-bee4-1a8bacdd2459.pdf)
