Item,Indicator,Value,Signal
,SMA (10),1397.76,Sell
,EMA (10),1421.13,Sell
,SMA (20),1485.97,Sell
,EMA (20),1470.43,Sell
,SMA (50),1589.79,Sell
,EMA (50),1519.74,Sell
,SMA (100),1518.46,Sell
,EMA (100),1464.23,Sell
,SMA (200),1258.64,Buy
,EMA (200),1317.65,Buy
,Indicator,Value,Signal
,---,---,---
,RSI (14),32.91,Neutral
,"MACD (12,26,9)",-59.18,Sell
,"Stochastic (14,3,3)",16.63,Buy
,ADX (14),28.26,Buy
,Williams %R (14),-91.35,Buy
,ATR (14),51.11,High Volatility
,ROC (12),-12.58,Sell
,Stoch RSI (14),19.53,Buy
,"UO (7,14,28)",42.39,Neutral
