Item,Indicator,Value,Signal
,SMA (10),1703.9,Buy
,EMA (10),1725.67,Buy
,SMA (20),1698.91,Buy
,EMA (20),1712.9,Buy
,SMA (50),1735.44,Buy
,EMA (50),1721.54,Buy
,SMA (100),1753.65,Buy
,EMA (100),1701.9,Buy
,SMA (200),1609.88,Buy
,EMA (200),1625.17,Buy
,Indicator,Value,Signal
,---,---,---
,RSI (14),58.64,Neutral
,"MACD (12,26,9)",7.39,Buy
,"Stochastic (14,3,3)",91.34,Sell
,ADX (14),21.35,Neutral
,Williams %R (14),-11.05,Sell
,ATR (14),37.64,Neutral
,ROC (12),4.32,Buy
,Stoch RSI (14),93.61,Sell
,"UO (7,14,28)",66.14,Neutral
