Item,Date,Document
,2026-09-08,[Announcement Under Regulation 30 (LODR)- Assignment Of Maharashtra State Electricity Distribution Co. LimitedS 2500 MW RE RTC Power Supply Contract By Adani Power Limited To Powerpulse Trading Solutions Limited](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=07ff970d-4d46-41d6-8a68-cf51af2f4264.pdf)
,2026-09-07,[Media Release](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=b8f28406-9ab9-4fb9-b857-3a2be8c4fe8a.pdf)
,2026-09-07,[Announcement Under Regulation 30 LODR Declaration Of Successful Resolution Applicant And Issuance Of Letter Of Intent For Acquiring GVK Energy Limited](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=426ec7e2-afd1-4ab2-9658-65ae6ad59f50.pdf)
,2026-09-07,[Investor Presentation September 2026 In INR](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=7df005dd-8010-4ad7-8cb7-b2e40ec089fc.pdf)
,2026-09-07,[Investor Presentation September 2026 In USD](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=8b441627-ba38-4920-83e1-c7913076d687.pdf)
,2026-09-01,[Announcement under Regulation 30 (LODR)-Credit Rating](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=868fad34-41d7-45b1-849f-9a64f3ab4dbf.pdf)
,2026-08-27,[Announcement Under Regulation 30 (LODR)- Signing Of Agreement For Sale Of A Subsidiary](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=67aa9420-1ac1-4331-a616-7b537ec30fc7.pdf)
,2026-08-22,[Investor Presentation (USD) - August 2026](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=5d581e22-8aa0-4465-a088-6bba6fc4bfdd.pdf)
,2026-08-21,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=fc7f0535-bab6-4943-bf80-a0a8efa88ea0.pdf)
,2026-08-20,[Announcement Under Regulation 30 (LODR)- Update On Pending Litigation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=d31972e3-fbec-40f4-ac26-d896721bfb87.pdf)
,Date,Document
,---,---
,2026-08-01,[Investor Presentation - August 2026](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=be5e2ad9-a3c0-4639-9e71-0be42dbac614.pdf)
,2026-08-01,[Investor Presentation - Q1 FY27](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=6c7fc920-0766-4cea-9a19-1c1566b0eb43.pdf)
,2026-07-23,[Announcement under Regulation 30 (LODR)-Investor Presentation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=0a67308a-1037-45a4-ab3c-4593628d851a.pdf)
,2026-06-02,[Announcement under Regulation 30 (LODR)-Investor Presentation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=7ead4174-304a-41e4-b2ca-64a1a31c2853.pdf)
,2026-04-29,[Announcement under Regulation 30 (LODR)-Investor Presentation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=a6d30996-b420-4672-8524-1f8ce73260cb.pdf)
,2026-01-31,[Announcement under Regulation 30 (LODR)-Investor Presentation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=ef1782cd-fcac-4e27-9603-96a24aa9c927.pdf)
,2026-01-29,[Announcement under Regulation 30 (LODR)-Investor Presentation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=9b1c9575-3e67-4f53-9037-894f39b1d635.pdf)
,2025-11-15,[Announcement under Regulation 30 (LODR)-Investor Presentation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=07518f2e-5823-4051-9529-2c95659b06f5.pdf)
,2025-10-30,[Announcement under Regulation 30 (LODR)-Investor Presentation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=470e504f-c657-46b4-87b4-691a9ef26b56.pdf)
,2025-09-05,[Announcement under Regulation 30 (LODR)-Investor Presentation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=24d6bf72-71d2-454f-be04-ddf9a65f3975.pdf)
,Date,Document
,---,---
,2026-07-29,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=043015c9-c21f-4abf-a752-b0336ea387e5.pdf)
,2026-05-06,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=b911cbe7-0c95-4b62-abd1-39d097e31fb5.pdf)
,2026-02-04,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=f77c57f1-fbd9-4c5e-84e4-1f4922738826.pdf)
,2025-11-05,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=a1dd1605-9acc-4204-9a6e-f966e1528275.pdf)
,2025-08-08,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=c5e91655-069d-4bb0-847c-45cc395d2409.pdf)
,2025-05-05,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=1c28728a-e403-45d2-ab0a-0920bc1ce46e.pdf)
,2025-02-05,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=ecffd3c8-38fd-4aae-a19d-6425086ec899.pdf)
,Date,Document
,---,---
,2026-07-22,[Results- Financial Results For June 30 2026](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=f7a7141d-0064-4992-a73e-a9a45a45fe89.pdf)
