Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,3440,3324,2936,3032,3415,3374,3144,3371,4001,3737,3603,3740
Expenses,2693,2616,2534,2423,2662,2615,2752,2632,3080,2909,3086,2974
Operating Profit,747,708,402,609,753,759,391,739,921,828,517,766
OPM %,22,21,14,20,22,23,12,22,23,22,14,20
Other Income,6,42,76,120,134,93,146,149,104,90,65,153
Interest,30,25,27,29,28,36,28,30,35,42,54,47
Depreciation,74,70,83,80,79,85,112,88,94,95,106,100
Profit before tax,648,655,367,619,780,731,396,771,896,781,423,772
Tax %,5,8,17,11,10,12,18,13,13,16,40,32
Net Profit,615,604,304,550,702,641,322,668,779,653,251,521
EPS in Rs,51.9,49.76,24.55,45.6,57.6,52.34,25.58,55.56,63.99,53.19,19.78,43.49
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,6401,7357,8344,8865,10634,11599,12668,12965,14712,15081,,
Expenses,5392,6237,6868,6920,8580,9977,10419,10452,11706,12049,,
Operating Profit,1009,1120,1476,1945,2054,1622,2249,2512,3007,3032,,
OPM %,16,15,18,22,19,14,18,19,20,20,,
Other Income,115,82,102,230,146,101,186,494,407,412,,
Interest,55,55,65,59,52,107,112,122,161,178,,
Depreciation,143,193,253,275,304,310,299,357,382,395,,
Profit before tax,926,955,1260,1842,1844,1305,2023,2527,2871,2872,,
Tax %,31,19,9,12,9,23,10,12,18,—,,
Net Profit,638,774,1149,1618,1680,1007,1811,2215,2351,2204,,
EPS in Rs,52.77,63.61,94.26,132.57,137.63,82.31,150.19,181.11,192.51,180.45,,
Dividend Payout %,25,25,27,23,25,61,27,25,28,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,24,24,24,24,24,24,24,24,24,24,,
Reserves,4444,4840,5415,6137,7353,8614,9021,10288,11961,13796,,
Borrowings,659,998,944,1616,1707,2668,1397,1418,1381,2047,,
Other Liabilities,1440,1803,1824,2169,2435,2763,3315,3844,4325,4991,,
Total Liabilities,6568,7664,8208,9946,11519,14069,13757,15575,17691,20858,,
Fixed Assets,1797,2284,2530,2908,2793,2902,2683,2873,2852,3871,,
CWIP,299,381,493,363,393,339,323,159,548,282,,
Investments,553,444,324,261,333,371,622,484,1846,1869,,
Other Assets,3918,4555,4861,6413,8000,10457,10129,12060,12445,14836,,
Total Assets,6568,7664,8208,9946,11519,14069,13757,15575,17691,20858,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,471,266,780,585,1265,1111,1682,1948,1913,1963,,
Cash from Investing Activity,-294,-351,-318,-737,-995,-1433,120,-1011,-1288,-1682,,
Cash from Financing Activity,-138,85,-379,79,-272,380,-1761,-1145,-811,-503,,
Net Cash Flow,40,0,82,-73,-2,58,42,-207,-186,-222,,
Free Cash Flow,-163,-411,253,237,1116,783,1453,1761,1278,1476,,
CFO/OP,73,47,92,59,86,73,121,105,96,86,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,46,62,62,72,66,65,67,65,69,74,,
Inventory Days,198,221,186,198,241,262,194,197,224,239,,
Days Payable,122,147,119,104,112,102,87,129,148,161,,
Cash Conversion Cycle,122,135,129,167,196,225,174,132,145,152,,
Working Capital Days,34,40,55,44,48,31,66,135,123,123,,
ROCE %,21,17,16,18,22,18,14,20,20,21,,
