Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,927.06,1294.76,2805.46,2401.29,1684.7,2133.33,3753.7,3449.13,1647.01,2942.82,4147.52,3887.72
Expenses,867.5,1216.26,2585.91,2210.71,1573.64,1983.6,3471.64,3199.32,1563.24,2705.35,3856.29,3576.21
Operating Profit,59.56,78.5,219.55,190.58,111.06,149.73,282.06,249.81,83.77,237.47,291.23,311.51
OPM %,6.42,6.06,7.83,7.94,6.59,7.02,7.51,7.24,5.09,8.07,7.02,8.01
Other Income,12.75,5.21,18.04,20.68,17.82,15.98,19.09,29.67,15.63,-48.34,84.12,-75.11
Interest,36.57,36.85,48.3,51.84,48.64,53.66,54.59,63.36,76.93,79.35,64.75,84.74
Depreciation,45.22,46.56,51.46,54.94,56.63,58.77,57.98,61.79,70.24,91.23,99.3,108.21
Profit before tax,-9.48,0.3,137.83,104.48,23.61,53.28,188.58,154.33,-47.77,18.55,211.3,43.45
Tax %,-40.4,270,28.15,28.49,11.18,30.48,37.2,31.33,-32.72,150.35,23.36,92.91
Net Profit,-5.65,-0.51,99.03,74.72,20.96,37.05,118.42,105.98,-32.15,-9.34,161.96,3.09
EPS in Rs,-2.06,-0.14,28.1,21.48,5.69,10.61,34.32,30.66,-9.35,-7.74,38.04,6.31
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,2118,2752,3963,3031,4206,6927,6729,9973,12186,12625,,
Expenses,1934,2538,3650,2804,3928,6505,6238,9237,11322,11701,,
Operating Profit,184,214,313,226,278,422,491,736,865,924,,
OPM %,9,8,8,7,7,6,7,7,7,7,,
Other Income,9,9,6,28,30,49,54,71,79,-24,,
Interest,54,25,43,42,46,112,167,209,284,306,,
Depreciation,49,62,85,92,108,139,187,228,323,369,,
Profit before tax,89,136,191,120,154,220,191,370,336,226,,
Tax %,30,30,14,31,28,25,27,32,33,—,,
Net Profit,62,95,164,83,111,164,139,251,226,124,,
EPS in Rs,19.81,29.78,50.37,24.22,32.41,46.66,39.44,72.01,50.48,27.26,,
Dividend Payout %,0,0,6,0,0,0,0,0,0,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,24,31,31,31,34,34,34,34,34,35,,
Reserves,339,861,955,1097,1570,1701,1875,2031,2252,4337,,
Borrowings,395,114,251,383,399,1069,1455,1539,2059,2702,,
Other Liabilities,493,721,1133,1388,1582,2107,2876,2987,4082,6686,,
Total Liabilities,1251,1728,2371,2899,3585,4910,6240,6590,8426,13759,,
Fixed Assets,557,710,809,1106,1144,1505,2222,2825,3040,5633,,
CWIP,21,30,34,12,43,128,50,91,198,746,,
Investments,0,6,0,0,108,225,193,217,236,38,,
Other Assets,672,983,1528,1781,2289,3051,3775,3457,4953,7342,,
Total Assets,1251,1728,2371,2899,3585,4910,6240,6590,8426,13759,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,142,127,-63,288,221,241,321,965,711,240,,
Cash from Investing Activity,-84,-152,-111,-320,-481,-678,-489,-1035,-953,-2904,,
Cash from Financing Activity,-46,128,93,63,370,555,193,-122,323,2683,,
Net Cash Flow,11,103,-81,31,110,119,25,-191,81,19,,
Free Cash Flow,61,26,-181,147,50,-167,-333,567,155,-1048,,
CFO/OP,115,78,-15,108,101,106,89,206,106,28,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,69,65,104,79,129,114,93,85,64,67,,
Inventory Days,71,83,88,72,104,87,68,56,74,90,,
Days Payable,119,120,148,124,193,176,143,144,110,104,,
Cash Conversion Cycle,21,28,44,27,40,25,17,-3,27,53,,
Working Capital Days,-8,18,38,16,21,-30,-19,-39,-28,8,,
ROCE %,14,16,14,17,9,8,11,10,14,10,,
