Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,1048,1059,1357,1405,1515,1262,1056,1141,1202,1335,1459,1430
Expenses,605,661,827,935,843,766,713,866,786,806,861,945
Operating Profit,443,398,530,470,672,496,343,275,415,529,599,485
OPM %,42,38,39,33,44,39,32,24,35,40,41,34
Other Income,1,2,1,5,1,2,2,3,2,3,8,4
Interest,26,36,56,56,75,84,80,83,93,127,134,129
Depreciation,11,13,17,23,26,27,29,30,31,32,33,35
Profit before tax,407,351,459,397,572,387,236,164,294,373,440,325
Tax %,25,26,26,26,26,27,26,30,28,28,27,29
Net Profit,304,260,340,293,423,281,175,114,212,269,320,231
EPS in Rs,3.63,3.1,4.05,3.25,4.7,3.12,1.93,1.26,2.33,2.96,3.52,2.53
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,770,778,748,1289,2292,3002,4272,5239,5138,5426,,
Expenses,516,575,570,828,1366,1708,2579,3256,3318,3398,,
Operating Profit,254,203,178,460,926,1294,1693,1983,1820,2028,,
OPM %,33,26,24,36,40,43,40,38,35,37,,
Other Income,14,11,7,10,5,18,7,8,15,17,,
Interest,95,70,50,42,76,91,137,296,438,483,,
Depreciation,15,20,21,18,19,30,50,103,125,130,,
Profit before tax,159,124,114,410,836,1192,1514,1592,1272,1432,,
Tax %,32,36,28,28,25,25,26,26,28,—,,
Net Profit,108,80,82,297,625,890,1126,1172,915,1032,,
EPS in Rs,1.5,1.11,1.14,3.63,7.54,10.67,13.4,12.98,10.05,11.34,,
Dividend Payout %,91,24,24,35,36,37,26,37,246,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,14,72,72,72,82,83,83,84,90,91,,
Reserves,375,403,459,519,1049,1502,2078,2955,5531,6027,,
Borrowings,772,1125,872,491,1171,1258,788,2541,3414,7951,,
Other Liabilities,641,767,805,1108,2511,4378,4528,7674,7853,9835,,
Total Liabilities,1803,2367,2209,2190,4814,7220,7478,13254,16889,23904,,
Fixed Assets,123,116,134,124,115,152,187,409,499,505,,
CWIP,1,0,1,2,0,12,62,1,4,10,,
Investments,50,6,15,35,6,19,109,0,202,257,,
Other Assets,1630,2246,2059,2029,4693,7037,7120,12844,16184,23132,,
Total Assets,1803,2367,2209,2190,4814,7220,7478,13254,16889,23904,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,-210,-309,689,643,-1199,558,804,-330,-1860,-4142,,
Cash from Investing Activity,-50,47,-6,-28,25,-52,-185,-91,-341,-111,,
Cash from Financing Activity,350,239,-361,-449,894,-165,-908,1331,1917,3656,,
Net Cash Flow,91,-23,323,166,-280,340,-289,910,-284,-597,,
Free Cash Flow,-222,-316,678,631,-1213,488,704,-537,-2023,-4222,,
CFO/OP,-6159,-100,364,378,-239,84,84,3,-73,-209,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,712,75,101,19,64,90,45,42,21,31,,
Cash Conversion Cycle,712,75,101,19,64,90,45,42,21,31,,
Working Capital Days,-343,-284,127,-380,-235,-569,-474,-525,-497,-592,,
ROCE %,11,18,13,14,27,35,44,39,26,15,,
