Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Revenue,334,351,375,395,421,450,484,520,544,554,574,600
Expenses,56,59,61,61,68,67,75,81,91,99,101,108
Financing Profit,181,194,205,215,225,240,259,279,288,292,312,322
Financing Margin %,54,55,55,54,53,53,54,54,53,53,54,54
Other Income,11,13,13,10,14,9,15,10,10,15,19,10
Interest,96,98,109,120,128,143,150,160,165,162,161,170
Depreciation,3,2,2,3,3,3,3,3,3,3,4,3
Profit before tax,190,205,215,222,237,246,271,286,294,304,328,329
Tax %,22,23,24,23,23,22,24,23,23,22,20,21
Net Profit,148,158,164,172,182,190,207,219,227,236,261,261
EPS in Rs,2.97,3.16,3.29,3.44,3.64,3.81,4.14,4.39,4.53,4.72,5.21,5.21
Gross NPA %,1.19,1.19,1.07,1.32,1.25,1.28,1.19,1.49,1.55,1.56,1.52,1.7
Net NPA %,0.89,0.89,0.8,0.98,0.94,0.96,0.89,1.12,1.17,1.18,1.15,1.29
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Revenue,201,325,500,640,815,1093,1365,1750,2192,2272,,
Expenses,47,67,86,101,144,196,218,270,371,400,,
Financing Profit,101,143,230,332,461,621,758,939,1171,1215,,
Financing Margin %,50,44,46,52,57,57,56,54,53,53,,
Other Income,3,13,23,19,26,40,44,48,53,54,,
Interest,53,115,185,207,209,277,389,542,650,658,,
Depreciation,2,3,6,6,7,7,9,12,13,14,,
Profit before tax,101,153,247,345,480,654,793,975,1211,1255,,
Tax %,34,27,15,23,23,23,23,23,22,—,,
Net Profit,67,112,211,267,370,503,612,751,943,985,,
EPS in Rs,8.49,14.18,22.74,28.77,7.45,10.1,12.26,15.03,18.83,19.67,,
Dividend Payout %,0,0,0,0,0,20,37,30,24,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,79,79,79,95,95,99,100,100,100,100,,
Reserves,442,506,620,1614,1885,2817,3240,3668,4217,4960,,
Borrowing,306,840,1603,2022,2515,2728,3796,5200,6873,7904,,
Other Liabilities,18,40,61,16,26,39,41,37,54,84,,
Total Liabilities,845,1465,2362,3747,4520,5684,7176,9005,11243,13048,,
Fixed Assets,5,4,4,10,10,12,15,22,35,39,,
CWIP,0,0,0,0,0,0,0,0,0,0,,
Investments,1,45,0,0,53,102,51,51,53,240,,
Other Assets,840,1416,2358,3737,4458,5570,7110,8931,11156,12768,,
Total Assets,845,1465,2362,3747,4520,5684,7176,9005,11243,13048,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,-303,-495,-714,-735,-621,-724,-1047,-1356,-1405,-489,,
Cash from Investing Activity,2,8,0,-97,65,-62,111,21,-90,-72,,
Cash from Financing Activity,300,534,764,1209,495,768,978,1224,1461,822,,
Net Cash Flow,-1,47,51,377,-61,-18,42,-111,-34,261,,
Free Cash Flow,-303,-498,-717,-737,-622,-727,-1050,-1361,-1412,-496,,
CFO/OP,-306,-303,-262,-164,-100,-90,-99,-102,-80,-14,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
ROE %,7,12,17,18,14,15,16,17,19,20,,
