Item,Date,Document
,"9h - Sterling and Wilson Kazakhstan LLP liquidated effective March 2, 2026; liquidation order received March 6, 2026; no business activity.","[Disclosure Under Regulation 30 Read With Part A Of Schedule III Of The SEBI (LODR) Regulations, 2015 9h - Sterling and Wilson Kazakhstan LLP liquidated effective March 2, 2026; liquidation order received March 6, 2026; no business activity.](https://www.bseindia.com/xml-data/corpfiling/AttachLive/f3f21965-8a47-4a07-b315-3278dddf84f9.pdf)"
,"9h - Board meeting on May 25, 2026 to approve FY2026 audited results; trading window closed Apr 1–May 27.","[Board Meeting Intimation for Audited Financial Results For Quarter And Financial Year Ending March 31, 2026 And Final Dividend, If Any. 9h - Board meeting on May 25, 2026 to approve FY2026 audited results; trading window closed Apr 1–May 27.](https://www.bseindia.com/xml-data/corpfiling/AttachLive/3a679138-382a-4ec2-86c0-3132be53275a.pdf)"
,"8h - Sterling & Wilson liquidated Kazakhstan step-down subsidiary effective March 2, 2026; no business activity.","[Disclosure Under Regulation 30 Read With Part A Of Schedule III Of The SEBI (LODR) Regulations, 2015 8h - Sterling & Wilson liquidated Kazakhstan step-down subsidiary effective March 2, 2026; no business activity.](https://www.bseindia.com/xml-data/corpfiling/AttachLive/0f3d7aec-a949-415f-b7f7-73cbdbb92707.pdf)"
,"8h - Clarifies 1 GWh lithium battery deployment is cumulative over past years, with no new material disclosure.","[Clarification 8h - Clarifies 1 GWh lithium battery deployment is cumulative over past years, with no new material disclosure.](https://www.bseindia.com/xml-data/corpfiling/AttachLive/2796adcb-cf75-4e2e-97f6-2a2e42bd8695.pdf)"
,"6 May - Amara Raja launches Amaron Assist services in domestic automotive and battery segment on May 7, 2026.","[Intimation 6 May - Amara Raja launches Amaron Assist services in domestic automotive and battery segment on May 7, 2026.](https://www.bseindia.com/xml-data/corpfiling/AttachLive/dddbb96d-143c-4516-9c72-b6ff5182e17d.pdf)"
,"6 Feb - Sterling and Wilson to attend 1x1/group investor meeting on Feb 9, 2026 by Nuvama; delayed intimation.","[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation 6 Feb - Sterling and Wilson to attend 1x1/group investor meeting on Feb 9, 2026 by Nuvama; delayed intimation.](https://www.bseindia.com/xml-data/corpfiling/AttachHis/240b4beb-197d-4859-b586-fa6a7e74e037.pdf)"
,"31 Jan - Shapoorji Pallonji paid full indemnity claim Rs.143.12 Crore on January 31, 2026.","[Update On The Indemnity Claim Dues From Shapoorji Pallonji And Company Private Limited 31 Jan - Shapoorji Pallonji paid full indemnity claim Rs.143.12 Crore on January 31, 2026.](https://www.bseindia.com/xml-data/corpfiling/AttachHis/88cf4694-bb6f-4852-bcbd-be5deb2aad22.pdf)"
,"30 Jan - CGST Bhuj ordered recovery of Rs.1.85 Crore refund plus interest and equal penalty; order dated Jan 29, 2026.","[Disclosure Of Information Under Regulation 30 Of The SEBI (LODR) Regulations, 2015 ('SEBI Listing Regulations') 30 Jan - CGST Bhuj ordered recovery of Rs.1.85 Crore refund plus interest and equal penalty; order dated Jan 29, 2026.](https://www.bseindia.com/xml-data/corpfiling/AttachHis/ebdf8406-d70e-494d-9968-da4fde9d819f.pdf)"
,"29 Mar - Re-appointment of Mr. Annush Ramasamy as Independent Director for five-year term; passed March 28, 2026.","[Shareholder Meeting / Postal Ballot-Scrutinizer""s Report 29 Mar - Re-appointment of Mr. Annush Ramasamy as Independent Director for five-year term; passed March 28, 2026.](https://www.bseindia.com/xml-data/corpfiling/AttachHis/9376a9c0-1d03-4cb3-a183-02f7d4da5fbe.pdf)"
