Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,11429,11093,13542,10724,11148,11995,14696,11709,12577,14830,17246,13070
Expenses,9559,9131,10975,8856,9108,9659,11705,9535,10136,12008,13938,10660
Operating Profit,1870,1961,2567,1868,2040,2336,2991,2173,2441,2822,3308,2410
OPM %,16,18,19,17,18,19,20,19,19,19,19,18
Other Income,-1,46,10,36,245,75,22,103,103,-140,186,195
Interest,715,783,829,904,962,1011,1053,1112,1152,1200,1241,1341
Depreciation,227,241,233,235,244,268,340,273,268,282,314,315
Profit before tax,927,984,1516,765,1078,1132,1621,891,1124,1200,1940,950
Tax %,39,38,38,28,29,28,23,26,27,28,29,30
Net Profit,569,609,934,551,767,820,1246,658,820,862,1381,668
EPS in Rs,0.9,0.95,1.45,0.87,1.2,1.3,1.92,1.04,1.29,1.38,2.2,1.05
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,29636,33197,21951,19454,26237,41673,45703,42333,48314,57723,,
Expenses,25387,28287,18718,16992,23472,36580,37848,39327,45617,46741,,
Operating Profit,4248,4910,3233,2462,2765,5093,7856,3006,2697,10982,,
OPM %,14,15,15,13,11,12,17,7,6,19,,
Other Income,190,139,57,207,-230,169,160,6607,8300,343,,
Interest,1227,1502,1802,1901,1869,2094,2982,3930,4705,4933,,
Depreciation,646,676,750,836,866,900,927,1087,1138,1179,,
Profit before tax,2565,2872,739,-67,-200,2269,4106,4596,5155,5213,,
Tax %,29,24,38,4,43,40,34,26,28,—,,
Net Profit,1814,2195,460,-70,-285,1362,2696,3383,3721,3731,,
EPS in Rs,3.01,3.54,0.57,-0.28,-0.61,2.11,4.23,5.29,5.91,5.92,,
Dividend Payout %,40,44,44,-107,-82,62,59,59,59,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,285,293,294,294,294,294,294,294,294,587,,
Reserves,6108,7128,8452,7495,7568,7010,8260,8711,11938,13654,,
Borrowings,13168,15791,19168,22417,24077,24145,31161,40802,49962,63936,,
Other Liabilities,7048,10171,11212,7924,10119,12125,14965,17788,19352,22527,,
Total Liabilities,26609,33383,39126,38130,42058,43574,54679,67595,81546,100704,,
Fixed Assets,6591,6596,6695,8031,8484,7895,8129,8157,8837,10435,,
CWIP,244,439,678,574,336,240,268,415,577,940,,
Investments,1933,4383,1492,960,1096,2652,4852,2329,6610,7467,,
Other Assets,17841,21965,30261,28565,32143,32787,41430,56695,65523,81862,,
Total Assets,26609,33383,39126,38130,42058,43574,54679,67595,81546,100704,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,270,1462,-3745,383,-1065,2845,-4499,-6258,128,-4895,,
Cash from Investing Activity,-1676,-3163,1897,-1201,-973,-1917,-2904,1135,-5759,-6986,,
Cash from Financing Activity,738,1905,2398,1239,1331,-378,7281,8432,6958,11617,,
Net Cash Flow,-668,205,549,421,-707,550,-122,3309,1327,-264,,
Free Cash Flow,-166,823,-4841,-940,-1791,2443,-5353,-7346,-1471,-7712,,
CFO/OP,24,48,-61,19,-45,105,-77,-69,43,-129,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,20,14,30,25,57,45,37,31,29,23,,
Inventory Days,73,42,52,42,76,53,44,50,49,50,,
Days Payable,85,96,88,90,162,150,96,85,99,100,,
Cash Conversion Cycle,8,-39,-6,-22,-30,-52,-16,-4,-21,-26,,
Working Capital Days,-21,-54,-13,-31,-44,-52,-34,-45,-37,-49,,
ROCE %,15,17,16,9,5,6,11,15,14,14,,
