Item,Indicator,Value,Signal
,SMA (10),2526.76,Sell
,EMA (10),2523.65,Sell
,SMA (20),2581.32,Sell
,EMA (20),2571.22,Sell
,SMA (50),2661.02,Sell
,EMA (50),2623.4,Sell
,SMA (100),2642.82,Sell
,EMA (100),2616.19,Sell
,SMA (200),2593.15,Sell
,EMA (200),2574.28,Sell
,Indicator,Value,Signal
,---,---,---
,RSI (14),28.69,Buy
,"MACD (12,26,9)",-55.7,Sell
,"Stochastic (14,3,3)",15.09,Buy
,ADX (14),31.78,Buy
,Williams %R (14),-87.41,Buy
,ATR (14),47.34,Neutral
,ROC (12),-5.86,Sell
,Stoch RSI (14),6.63,Buy
,"UO (7,14,28)",55.36,Neutral
