Item,Indicator,Value,Signal
,SMA (10),774.24,Sell
,EMA (10),774.69,Sell
,SMA (20),774.45,Sell
,EMA (20),780.5,Sell
,SMA (50),800.41,Sell
,EMA (50),786,Sell
,SMA (100),776.92,Sell
,EMA (100),766.34,Sell
,SMA (200),701.47,Buy
,EMA (200),718.46,Buy
,Indicator,Value,Signal
,---,---,---
,RSI (14),41.08,Neutral
,"MACD (12,26,9)",-8.09,Buy
,"Stochastic (14,3,3)",47.36,Neutral
,ADX (14),17.81,Neutral
,Williams %R (14),-65.3,Neutral
,ATR (14),21.05,Neutral
,ROC (12),0.12,Buy
,Stoch RSI (14),41.94,Neutral
,"UO (7,14,28)",54.84,Neutral
