Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,1095,1155,1166,1144,1216,1291,1336,1372,1444,1499,1549,1743
Expenses,815,867,877,847,909,1026,1071,1080,1151,1196,1249,1476
Operating Profit,279,288,289,296,307,264,265,292,293,303,299,268
OPM %,26,25,25,26,25,20,20,21,20,20,19,15
Other Income,10,13,16,12,6,8,9,9,9,9,10,13
Interest,27,31,29,26,23,27,24,28,26,41,35,39
Depreciation,37,38,49,45,50,52,52,54,59,60,60,64
Profit before tax,225,231,227,237,240,193,198,219,217,212,214,178
Tax %,25,26,27,25,26,26,25,26,26,26,27,25
Net Profit,168,172,165,177,178,143,149,162,162,157,156,133
EPS in Rs,1.53,1.57,1.5,1.61,1.62,1.3,1.36,1.47,1.47,1.43,1.42,1.21
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,1374,1719,1875,1696,3038,4378,4472,4986,5864,6235,,
Expenses,1008,1264,1280,991,2265,3508,3368,3849,4675,5072,,
Operating Profit,366,455,595,704,773,870,1104,1137,1188,1163,,
OPM %,27,26,32,42,25,20,25,23,20,19,,
Other Income,80,59,44,30,42,37,47,30,37,42,,
Interest,125,90,41,40,53,79,111,100,129,141,,
Depreciation,61,67,51,63,83,113,157,198,233,243,,
Profit before tax,259,357,547,631,679,716,882,868,863,822,,
Tax %,36,36,20,25,26,26,26,25,26,—,,
Net Profit,165,229,436,472,505,530,653,648,637,608,,
EPS in Rs,6.41,2.08,3.97,4.29,4.59,4.82,5.94,5.89,5.79,5.53,,
Dividend Payout %,0,12,6,6,5,5,4,4,4,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,257,257,110,110,110,110,110,110,110,110,,
Reserves,458,769,1002,1370,1842,2320,2828,3453,4075,4714,,
Borrowings,549,1345,394,428,529,1035,1420,1555,1831,2252,,
Other Liabilities,396,442,552,577,741,964,1278,1406,1583,2368,,
Total Liabilities,1660,2812,2058,2486,3222,4429,5636,6524,7599,9444,,
Fixed Assets,832,897,980,1198,1379,1733,2329,3090,3515,4102,,
CWIP,87,102,190,342,696,1171,1612,1476,1803,1919,,
Investments,91,189,186,291,436,648,683,704,993,1928,,
Other Assets,651,1624,701,655,711,878,1013,1254,1288,1495,,
Total Assets,1660,2812,2058,2486,3222,4429,5636,6524,7599,9444,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,258,277,356,492,654,732,846,971,980,1150,,
Cash from Investing Activity,-303,-988,791,-461,-770,-1133,-1163,-769,-956,-1231,,
Cash from Financing Activity,50,779,-1077,-102,39,422,295,-77,58,117,,
Net Cash Flow,5,68,70,-71,-78,21,-22,124,83,36,,
Free Cash Flow,134,137,115,51,47,-218,-312,227,145,247,,
CFO/OP,110,100,105,105,112,114,115,105,101,111,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,19,38,18,12,22,22,26,33,31,26,,
Inventory Days,21,19,15,14,25,15,11,—,—,—,,
Days Payable,28,63,35,28,55,31,36,—,—,—,,
Cash Conversion Cycle,11,-6,-2,-2,-8,6,1,33,31,26,,
Working Capital Days,95,52,5,-24,-128,-137,-142,-98,-65,-97,,
ROCE %,22,21,24,34,31,25,20,21,17,15,,
