Item,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,523,360,584,635,676,645,899,954,1175,1217
Expenses,762,489,723,776,848,779,1031,1026,1244,1250
Operating Profit,-238,-128,-139,-141,-172,-134,-132,-72,-70,-33
OPM %,-46,-36,-24,-22,-25,-21,-15,-8,-6,-2.7
Other Income,12,8,15,15,12,28,42,37,39,43
Interest,19,23,31,29,29,24,21,19,18,22
Depreciation,38,40,43,44,45,48,43,30,52,39
Profit before tax,-283,-183,-197,-198,-234,-178,-154,-85,-100,-51
Tax %,0,0,0,0,0,0,0,0,0,0
Net Profit,-283,-183,-197,-198,-234,-178,-154,-85,-100,-51
EPS in Rs,-24720.77,-61.17,-64.01,-64.21,-8.06,-4.79,-4.05,-2.22,-2.62,-1.33
Item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,,
Sales,35,80,408,1781,1754,2255,3672,4244,,
Expenses,220,257,668,2488,2438,2836,4080,4551,,
Operating Profit,-185,-177,-260,-708,-685,-581,-408,-307,,
OPM %,-523,-222,-64,-40,-39,-26,-11,-7,,
Other Income,14,7,4,21,-139,50,146,161,,
Interest,24,28,40,65,89,111,82,80,,
Depreciation,25,35,48,113,147,171,173,164,,
Profit before tax,-220,-233,-344,-864,-1060,-812,-517,-390,,
Tax %,0,0,0,0,0,0,0,—,,
Net Profit,-220,-233,-344,-864,-1060,-812,-517,-390,,
EPS in Rs,-20118.94,-21344.92,-30078.67,-75436.3,-92469.46,-27.95,-13.51,-10.22,,
Dividend Payout %,0,0,0,0,0,0,0,—,,
Item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,
---,---,---,---,---,---,---,---,,,
Equity Capital,0.02,0.02,0.02,0.02,0,29,38,,,
Reserves,250,376,224,614,545,464,2534,,,
Borrowings,132,219,365,485,478,619,664,,,
Other Liabilities,137,146,229,878,890,988,1485,,,
Total Liabilities,518,741,819,1977,1914,2101,4722,,,
Fixed Assets,178,307,335,544,459,616,627,,,
CWIP,104,47,93,37,71,122,340,,,
Investments,39,92,37,286,292,41,552,,,
Other Assets,198,295,354,1109,1092,1322,3202,,,
Total Assets,518,741,819,1977,1914,2101,4722,,,
Item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,
---,---,---,---,---,---,---,---,,,
Cash from Operating Activity,-182,-140,-226,-871,-268,-721,32,,,
Cash from Investing Activity,-123,-172,51,-135,58,-100,-2486,,,
Cash from Financing Activity,313,296,228,1317,633,703,2497,,,
Net Cash Flow,8,-16,52,311,423,-118,42,,,
Free Cash Flow,-298,-227,-297,-1001,-383,-1060,-474,,,
CFO/OP,98,79,87,123,39,124,-8,,,
Item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,
---,---,---,---,---,---,---,---,,,
Debtor Days,0,0,1,0,0,2,1,,,
Inventory Days,79,226,57,59,26,48,35,,,
Days Payable,47,269,113,88,90,109,105,,,
Cash Conversion Cycle,32,-43,-56,-29,-64,-60,-68,,,
Working Capital Days,-225,-425,-203,-36,-122,-69,60,,,
ROCE %,—,-42,-51,-95,-75,-66,-20,,,
