Item,Indicator,Value,Signal
,SMA (10),1642.39,Buy
,EMA (10),1613.13,Buy
,SMA (20),1561.17,Buy
,EMA (20),1567.74,Buy
,SMA (50),1411.05,Buy
,EMA (50),1423.66,Buy
,SMA (100),1192.1,Buy
,EMA (100),1245.61,Buy
,SMA (200),950.82,Buy
,EMA (200),1019.58,Buy
,Indicator,Value,Signal
,---,---,---
,RSI (14),64.05,Neutral
,"MACD (12,26,9)",67.3,Sell
,"Stochastic (14,3,3)",64.15,Neutral
,ADX (14),47.52,Buy
,Williams %R (14),-28.03,Neutral
,ATR (14),63.1,High Volatility
,ROC (12),10.8,Buy
,Stoch RSI (14),30.74,Neutral
,"UO (7,14,28)",55.48,Neutral
