Item,Date,Document
,2026-09-07,[Outcome Of Postal Ballot](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=46d79e28-d5f2-4f4f-a9c6-eccbfa439f93.pdf)
,2026-08-06,[Shareholder Meeting / Postal Ballot-Notice of Postal Ballot](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=fee36434-9e51-4c09-b95c-6ec0f70ff6f3.pdf)
,2026-08-05,[49Th Annual General Meeting Video Proceedings Presentation And Speech](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=79c94e9d-fd85-4aaf-9b65-775e9eb6ce1c.pdf)
,2026-07-31,[Shareholder Meeting / Postal Ballot-Outcome of AGM](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=753a267f-b0cd-42f0-8b24-7522ad54f22f.pdf)
,2026-07-31,[Shareholder Meeting / Postal Ballot-Scrutinizers Report](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=889e168e-293e-44e9-b035-8688410a29a0.pdf)
,2026-07-25,[Announcement under Regulation 30 (LODR)-Newspaper Publication](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=a0e853b6-39f4-4af8-a13a-38eeb70669ed.pdf)
,2026-07-24,[Letter Attached](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=0b603fa3-e919-48a7-abd7-56c42eab10f9.pdf)
,2026-07-24,[Announcement under Regulation 30 (LODR)-Change in Management](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=59bfb369-9bb7-4c2c-b73e-2617be7430ac.pdf)
,2026-07-20,[Announcement under Regulation 30 (LODR)-Change in Management](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=ff041658-1efe-4a60-a739-7b3fe7480205.pdf)
,2026-07-20,[Disclosures under Reg. 29(1) of SEBI (SAST) Regulations 2011](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=5B38081C_673C_4014_A0C6_CA3615DBC7C6_193732.pdf)
,Date,Document
,---,---
,2026-07-24,[June 30 2026](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=83b3cb28-3166-46ab-b996-877946ea216d.pdf)
,2026-04-24,[Results For March 31 2026](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=04614dbf-19ed-45ff-b05e-f4f8a077124f.pdf)
,2026-01-23,[Financial Results For Period Ended December 31 2025](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=fd126a8f-5d5f-4f13-8596-21d5df241c53.pdf)
