Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,1194,1138,1212,1322,1393,1417,1452,1478,1552,1574,1670,1848
Expenses,1039,986,1065,1099,1150,1193,1229,1242,1284,1327,1389,1454
Operating Profit,155,152,148,223,243,224,223,236,267,247,281,394
OPM %,13,13,12,17,17,16,15,16,17,16,17,21
Other Income,24,17,16,16,35,19,50,28,50,40,92,35
Interest,2,2,5,5,9,4,5,5,5,4,4,4
Depreciation,54,61,76,77,78,81,82,82,81,80,79,78
Profit before tax,124,105,83,158,191,158,186,177,231,203,289,347
Tax %,26,32,29,29,27,26,30,25,21,20,27,27
Net Profit,91,72,59,112,140,117,130,132,182,164,211,254
EPS in Rs,30.6,24.04,19.84,38,46.47,36.93,42.97,43.4,60.88,54.6,71.38,83.32
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,3514,4038,4093,3731,5081,5428,4726,5583,6274,6643,,
Expenses,3008,3270,3191,2813,4168,4620,4086,4665,5240,5455,,
Operating Profit,505,768,902,918,913,807,639,918,1034,1189,,
OPM %,14,19,22,25,18,15,14,16,16,18,,
Other Income,30,38,83,109,82,86,65,115,206,217,,
Interest,13,7,9,9,9,8,11,24,17,17,,
Depreciation,110,119,130,136,177,198,243,317,322,318,,
Profit before tax,412,680,845,882,810,688,451,692,900,1070,,
Tax %,32,36,21,25,25,26,28,28,23,—,,
Net Profit,281,436,671,660,605,507,324,499,689,811,,
EPS in Rs,93.21,145.72,224.69,221.64,204.23,174.19,109.71,164.37,230.25,270.18,,
Dividend Payout %,13,10,12,9,12,19,18,15,13,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,30,30,30,30,30,30,30,29,29,29,,
Reserves,1936,2214,2676,3125,3797,4399,4642,5085,5569,6192,,
Borrowings,168,16,55,108,127,144,52,237,202,183,,
Other Liabilities,591,749,783,880,982,1117,1028,1104,1179,1465,,
Total Liabilities,2724,3009,3543,4144,4935,5690,5752,6455,6980,7870,,
Fixed Assets,1026,1027,1104,1125,1418,1634,1770,2792,2847,2676,,
CWIP,59,96,172,368,250,420,1033,281,124,110,,
Investments,429,470,752,1137,1361,1339,881,1392,1766,2592,,
Other Assets,1210,1415,1515,1513,1906,2297,2068,1990,2242,2492,,
Total Assets,2724,3009,3543,4144,4935,5690,5752,6455,6980,7870,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,392,356,404,881,718,231,707,667,603,1023,,
Cash from Investing Activity,-175,-129,-408,-782,-645,-163,-469,-683,-494,-891,,
Cash from Financing Activity,-212,-207,-1,-111,-52,-57,-257,38,-118,-98,,
Net Cash Flow,5,19,-5,-11,21,11,-20,22,-9,34,,
Free Cash Flow,180,213,195,508,396,-359,-167,164,334,851,,
CFO/OP,93,91,86,122,100,47,112,121,82,113,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,67,75,63,64,72,71,57,72,74,74,,
Inventory Days,107,83,89,93,128,122,101,90,97,90,,
Days Payable,86,93,66,88,121,90,69,84,82,94,,
Cash Conversion Cycle,88,66,86,69,78,103,89,77,89,70,,
Working Capital Days,65,76,74,59,65,77,68,69,77,69,,
ROCE %,23,19,27,28,24,19,15,9,13,15,,
