Item,Date,Document
,"9h - Aurobindo to complete up to 26% acquisition in Swarnaakshu by June 30, 2026 (delayed from March 31).","[Update On Solar Power Purchase Agreement And Acquisition Upto 26% Stake In Swarnaakshu Solar Power Private Limited. 9h - Aurobindo to complete up to 26% acquisition in Swarnaakshu by June 30, 2026 (delayed from March 31).](https://www.bseindia.com/xml-data/corpfiling/AttachLive/9b255c36-388a-46c0-961c-20d9e75492ad.pdf)"
,9 Mar - Of investor meet to be held on 13.03.2026.,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation 9 Mar - Of investor meet to be held on 13.03.2026.](https://www.bseindia.com/xml-data/corpfiling/AttachHis/0e29da44-919d-403e-ae2c-807923749245.pdf)
,"9 Apr - Regulation 74(5) certificate filed for quarter ended March 31, 2026.","[Compliances-Certificate under Reg. 74 (5) of SEBI (DP) Regulations, 2018 9 Apr - Regulation 74(5) certificate filed for quarter ended March 31, 2026.](https://www.bseindia.com/xml-data/corpfiling/AttachHis/45934fa7-23f0-45f5-9bb5-e380eeffc829.pdf)"
,"8h - Aurobindo Pharma gets USFDA approval for Dapagliflozin 5 mg, 10 mg; launch begins immediately.","[Announcement under Regulation 30 (LODR)-Press Release / Media Release 8h - Aurobindo Pharma gets USFDA approval for Dapagliflozin 5 mg, 10 mg; launch begins immediately.](https://www.bseindia.com/xml-data/corpfiling/AttachLive/b52b9640-1a5f-4412-91ee-f2b0ebff5769.pdf)"
,8 May - Submission of copy of post buyback public advertisement pertaining to buyback of shares of the Company.,[Announcement under Regulation 30 (LODR)-Newspaper Publication 8 May - Submission of copy of post buyback public advertisement pertaining to buyback of shares of the Company.](https://www.bseindia.com/xml-data/corpfiling/AttachLive/6038669d-47c7-4b93-bc86-882f98dbb88d.pdf)
,8 Apr - Submission of Public Announcement pertaining to Buyback of shares of the Company published in newspapers and Board Resolution.,[Announcement under Regulation 30 (LODR)-Newspaper Publication 8 Apr - Submission of Public Announcement pertaining to Buyback of shares of the Company published in newspapers and Board Resolution.](https://www.bseindia.com/xml-data/corpfiling/AttachHis/a62dbd27-13af-4e9f-b2ac-6522db337044.pdf)
,8 Apr - Submission of Public Announcement pertaining to Buyback of shares of the Company published in newspapers,[Announcement under Regulation 30 (LODR)-Newspaper Publication 8 Apr - Submission of Public Announcement pertaining to Buyback of shares of the Company published in newspapers](https://www.bseindia.com/xml-data/corpfiling/AttachHis/298e5102-d88c-4a30-8938-4f2dc3886c23.pdf)
,7 Apr - Aurobindo Pharma received USFDA approval for Dapagliflozin/Metformin ER tablets and will launch immediately.,[Announcement under Regulation 30 (LODR)-Press Release / Media Release 7 Apr - Aurobindo Pharma received USFDA approval for Dapagliflozin/Metformin ER tablets and will launch immediately.](https://www.bseindia.com/xml-data/corpfiling/AttachHis/ca6a7a08-3430-4159-bf1d-857abf13227e.pdf)
,"6h - Board meeting on April 6, 2026 to consider buyback of fully paid-up equity shares.","[Board Meeting Intimation for To Consider, Inter Alia, A Proposal For Buyback Of The Fully Paid-Up Equity Shares Of The Company 6h - Board meeting on April 6, 2026 to consider buyback of fully paid-up equity shares.](https://www.bseindia.com/xml-data/corpfiling/AttachLive/99e419b6-697b-4386-b5b3-27ffd114eaf2.pdf)"
,"6 May - US FDA closed Unit-VII inspection; facility classified VAI after Jan 28-Feb 10, 2026 inspection.","[US FDA Classification Of Unit-VII Of Aurobindo Pharma Limited, As Voluntary Action Indicated (VAI) 6 May - US FDA closed Unit-VII inspection; facility classified VAI after Jan 28-Feb 10, 2026 inspection.](https://www.bseindia.com/xml-data/corpfiling/AttachLive/25046736-dd9f-433f-994c-0cee10731ba6.pdf)"
,Date,Document
,---,---
,2026-09-03,[Announcement under Regulation 30 (LODR)-Newspaper Publication](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=e7469acc-cc95-47e5-9f6f-84394be407ac.pdf)
,2026-09-01,[Announcement under Regulation 30 (LODR)-Acquisition](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=e5ff606e-edf5-45c9-9590-8a3d84bde706.pdf)
,2026-08-31,[Announcement under Regulation 30 (LODR)-Press Release / Media Release (Revised)](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=c564ad63-5765-4226-966f-2a26a9dffb90.pdf)
,2026-08-28,[Shareholder Meeting / Postal Ballot-Scrutinizers Report](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=a1855fe8-385d-45f3-9c07-08c34c77f9b0.pdf)
,2026-08-28,[Completion Of US FDA Inspection At Unit-VI Of Apitoria Pharma Private Limited A Wholly Owned Subsidiary Of The Company](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=12f42de4-c177-49ff-934e-55401654b4f7.pdf)
,2026-08-27,[Shareholder Meeting / Postal Ballot-Outcome of AGM](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=1e16491a-57a2-44fd-9caa-bb1da0962f2c.pdf)
,2026-08-25,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=0cace350-c467-4dc4-88c4-0333ba05a07c.pdf)
,2026-08-25,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=c7dfcc06-4e8e-4fd8-a40f-7edc4a8eb63a.pdf)
,2026-08-24,[Completion Of US FDA Inspection At Lannett Company LLC A Wholly Owned Subsidiary Of Aurobindo Pharma USA Inc.](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=b72c376c-cb98-4058-8e2b-a721fcb304f1.pdf)
