Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,7219,7352,7580,7567,7796,7979,8382,7868,8286,8646,8853,9150
Expenses,5846,5753,5920,5949,6230,6401,6622,6265,6608,6873,7103,7271
Operating Profit,1373,1599,1660,1618,1566,1578,1760,1603,1678,1773,1750,1880
OPM %,19,22,22,21,20,20,21,20,20,21,20,21
Other Income,188,163,14,221,136,159,135,107,122,123,117,224
Interest,68,76,89,111,113,118,115,98,95,93,98,102
Depreciation,418,423,354,404,382,419,444,406,429,465,479,487
Profit before tax,1076,1262,1230,1324,1207,1200,1335,1207,1276,1339,1291,1515
Tax %,30,26,26,31,32,30,32,32,34,32,29,32
Net Profit,752,940,907,918,817,846,903,824,848,910,921,1032
EPS in Rs,12.92,15.98,15.51,15.69,14.07,14.56,15.56,14.2,14.61,15.67,15.86,17.95
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,16463,19564,23099,24775,23455,24855,29002,31724,33653,34935,,
Expenses,12691,15612,18249,19497,19060,21148,23176,25164,26783,27854,,
Operating Profit,3772,3952,4849,5278,4396,3707,5826,6560,6870,7081,,
OPM %,23,20,21,21,19,15,20,21,20,20,,
Other Income,105,70,166,3195,152,291,366,613,404,586,,
Interest,78,263,305,74,49,140,290,457,384,388,,
Depreciation,558,668,967,1055,1127,1245,1522,1649,1778,1859,,
Profit before tax,3241,3091,3743,7344,3373,2612,4380,5066,5112,5420,,
Tax %,25,24,24,27,22,26,28,31,31,—,,
Net Profit,2423,2364,2844,5334,2647,1928,3169,3484,3503,3711,,
EPS in Rs,41.36,40.36,48.56,91.05,45.2,32.9,54.15,60.02,60.34,64.09,,
Dividend Payout %,6,6,6,4,20,23,8,0,7,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,59,59,59,59,59,59,59,59,58,58,,
Reserves,9313,11622,13832,16766,21871,24517,26781,29784,32595,37833,,
Borrowings,3364,4770,6967,5826,5339,2851,5286,6648,8263,8073,,
Other Liabilities,3464,4492,5414,6113,6147,6211,7379,8227,8566,12232,,
Total Liabilities,16200,20942,26271,28765,33416,33638,39505,44717,49482,58196,,
Fixed Assets,4834,6521,8475,9396,9374,10532,11024,14493,14794,17407,,
CWIP,1458,1583,1668,1986,3062,3747,5390,3869,4900,5214,,
Investments,246,312,360,555,591,997,543,372,252,1051,,
Other Assets,9662,12527,15768,16827,20390,18362,22549,25983,29536,34525,,
Total Assets,16200,20942,26271,28765,33416,33638,39505,44717,49482,58196,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,3279,1955,1651,4381,3329,5016,2387,2435,3925,5526,,
Cash from Investing Activity,-1787,-1927,-2904,-1563,597,-3211,-3971,-4242,-1866,-2630,,
Cash from Financing Activity,-1915,864,1919,-1947,-1365,-2969,1814,800,120,-1269,,
Net Cash Flow,-424,892,666,871,2561,-1164,230,-1007,2178,1628,,
Free Cash Flow,1594,714,114,2969,1503,2693,-323,-1067,1408,2468,,
CFO/OP,118,70,61,106,87,143,84,72,86,107,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,68,68,64,68,52,62,66,61,66,77,,
Inventory Days,246,317,304,289,333,272,275,284,295,326,,
Days Payable,122,128,107,97,103,97,125,129,117,151,,
Cash Conversion Cycle,191,257,260,260,282,237,216,216,244,252,,
Working Capital Days,51,50,25,35,52,84,55,66,49,44,,
ROCE %,25,23,18,19,18,13,9,14,14,13,,
