Item,Date,Document
,"9h - Board approved 32nd AGM on July 31, 2026; record date for final dividend fixed at July 10, 2026.","[INTIMATION OF ANNUAL GENERAL MEETING AND RECORD DATE FOR PAYMENT OF FINAL DIVIDEND 9h - Board approved 32nd AGM on July 31, 2026; record date for final dividend fixed at July 10, 2026.](https://www.bseindia.com/xml-data/corpfiling/AttachLive/79e52263-c0c7-4352-a36b-4e277752a086.pdf)"
,9h - Axis Bank reappoints N. S. Vishwanathan and P. N. Prasad; chairman term extended to October 2029.,[Announcement under Regulation 30 (LODR)-Change in Directorate 9h - Axis Bank reappoints N. S. Vishwanathan and P. N. Prasad; chairman term extended to October 2029.](https://www.bseindia.com/xml-data/corpfiling/AttachLive/81f74ca5-8203-461f-8818-5661ceb7406d.pdf)
,"8h - Axis Bank designated Sanjeev Moghe and Avinash Raghavendra as Senior Management Personnel effective April 25, 2026.","[Announcement under Regulation 30 (LODR)-Change in Management 8h - Axis Bank designated Sanjeev Moghe and Avinash Raghavendra as Senior Management Personnel effective April 25, 2026.](https://www.bseindia.com/xml-data/corpfiling/AttachLive/346aa5dc-ab65-474f-a274-22609aefe484.pdf)"
,"6 Mar - Axis Bank gave in-principle NOC to Max Financial-AMLI amalgamation; undertaking executed March 6, 2026; listing by April 5, 2027.","[Disclosure Under Regulation 30 Of The SEBI (LODR) Regulations, 2015 6 Mar - Axis Bank gave in-principle NOC to Max Financial-AMLI amalgamation; undertaking executed March 6, 2026; listing by April 5, 2027.](https://www.bseindia.com/xml-data/corpfiling/AttachLive/ce5f3fda-b02e-43da-9d1b-b383b4c392d7.pdf)"
,"5h - Axis Bank shared audio recording of its April 25, 2026 earnings call for Q4 and FY26 results.","[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome 5h - Axis Bank shared audio recording of its April 25, 2026 earnings call for Q4 and FY26 results.](https://www.bseindia.com/xml-data/corpfiling/AttachLive/f3bc978e-08dc-4837-b5a8-7ccb02b8fd03.pdf)"
,5 Apr - Axis Bank reported provisional Q4 FY26 advances and deposits growth as of 31 March 2026.,"[Intimation Under Regulation 30 Of SEBI (LODR) Regulations, 2015 5 Apr - Axis Bank reported provisional Q4 FY26 advances and deposits growth as of 31 March 2026.](https://www.bseindia.com/xml-data/corpfiling/AttachHis/6a0f2cfe-115f-4ee3-9b43-10a913944fb2.pdf)"
,"30 Apr - Axis Bank posted Q4FY26 and FY26 earnings call transcript on April 30, 2026.","[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome 30 Apr - Axis Bank posted Q4FY26 and FY26 earnings call transcript on April 30, 2026.](https://www.bseindia.com/xml-data/corpfiling/AttachHis/747ace5e-bd7a-40a5-8f81-080f68ab343f.pdf)"
,"30 Apr - Axis Bank posted Q4FY26 and FY26 earnings call transcript on April 30, 2026.","[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome 30 Apr - Axis Bank posted Q4FY26 and FY26 earnings call transcript on April 30, 2026.](https://www.bseindia.com/xml-data/corpfiling/AttachLive/747ace5e-bd7a-40a5-8f81-080f68ab343f.pdf)"
,"29 Apr - RBI approved Subrat Mohanty’s re-appointment as Executive Director from August 17, 2026 to August 16, 2029.","[RBI Approval On The Re-Appointment Of Subrat Mohanty As The Whole-Time Director (Designated As Executive Director) Of The Bank 29 Apr - RBI approved Subrat Mohanty’s re-appointment as Executive Director from August 17, 2026 to August 16, 2029.](https://www.bseindia.com/xml-data/corpfiling/AttachHis/e7dbcea9-d5a2-45a7-bf0a-b476891aec37.pdf)"
