Item,Date,Document
,2026-09-10,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=22ba7f78-b7e9-4262-b716-6b7611613053.pdf)
,2026-09-09,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=e973f986-d3fc-45cb-86b0-a550c663f8d5.pdf)
,2026-09-08,[Announcement under Regulation 30 (LODR)-Credit Rating](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=9f986e4c-06dc-4520-8329-53e7fb6d8348.pdf)
,2026-09-07,[Bank Of India Has Informed The Exchange About One To One Investor / Analyst Meet.](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=820343e9-cd46-4462-a4f2-2fc3c6c86a09.pdf)
,2026-09-04,[Announcement under Regulation 30 (LODR)-Strikes /Lockouts / Disturbances](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=8bdb6f6f-a0d3-4fc4-9123-6363ae868b0a.pdf)
,2026-09-04,[Announcement under Regulation 30 (LODR)-Newspaper Publication](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=f5241217-facc-4faf-8010-80380f45696a.pdf)
,2026-09-04,[Bank Of India Has Informed The Exchange About Schedule Of Non-Deal Roadshow With Respect To Fund Raising Through EMTN Program](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=524e92d6-1b7d-461c-a0af-3f72f465d651.pdf)
,2026-09-03,[Intimation Of Record Date For Redemption Of Basel III Compliant Tier II Bonds](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=795f7b8f-35b1-4d8e-8712-25bc16c409f9.pdf)
,2026-09-02,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=9cefb625-cf26-4913-a08d-488dc5f4fd2d.pdf)
,2026-08-31,[Announcement under Regulation 30 (LODR)-Interest Rates Updates](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=2408fb2a-cb2e-405b-bb54-e78d74a2a4e4.pdf)
,Date,Document
,---,---
,2026-09-08,[Announcement under Regulation 30 (LODR)-Investor Presentation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=eb809ea7-d70d-4297-8463-5fe1510cc7e7.pdf)
,2026-07-24,[Announcement under Regulation 30 (LODR)-Investor Presentation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=b7b6fb1d-f481-4515-bf16-4709d3e4a279.pdf)
,2026-05-08,[Announcement under Regulation 30 (LODR)-Investor Presentation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=55082b20-514b-4b75-9681-8da27e26fac8.pdf)
,2026-01-21,[Announcement under Regulation 30 (LODR)-Investor Presentation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=09147b0a-b389-4f9b-a994-384a7df0fc1f.pdf)
,2026-01-21,[Announcement under Regulation 30 (LODR)-Investor Presentation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=93a0a579-89f3-4ad9-809b-92fdfdda8c73.pdf)
,Date,Document
,---,---
,2026-07-30,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=7c24ba41-e301-4fa8-92d1-21950e168f5b.pdf)
,2026-05-15,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=cccfc484-7bf2-4c17-8a6b-5e32627dc7d8.pdf)
,2026-01-28,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=f784e372-6a9d-40d7-b9b0-d1510ffb1765.pdf)
,Date,Document
,---,---
,2026-07-24,[Financial Result For The Quarter Ended June2026](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=71121c09-7ff6-4def-8795-f5335d1402fc.pdf)
,2026-07-24,[Financial Result For The Quarter Ended June 2026](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=a09967c9-b7ef-4bc0-85d0-2d00661b41de.pdf)
,2026-07-24,[Financial Result For June 2026](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=7c56b887-e6bc-4a39-a8d2-1b7e861a719f.pdf)
,2026-05-08,[Financial Result For The 4Th Quarter And Year Ended 31St March 2026](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=c78468b3-02a0-4e0a-a0c4-55a3321a0afb.pdf)
,2026-05-08,[Financial Result For The 4Th Quarter And Year Ended 31St March 2026](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=267d2fc2-918f-40cc-9b7e-8e2f7245f3cb.pdf)
,2026-01-21,"[""Unaudited (Reviewed) Financial Result For The Quarter Ended December 2025""](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=419b9b9e-daac-4df4-9f5b-3649229a8e62.pdf)"
,2026-01-21,[Unaudited (Reviewed) Financial Result For The Quarter Ended December 2025](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=7b97805c-e6b5-48fd-a640-0932dde39d9d.pdf)
,Date,Document
,---,---
,"9h - Virtual investor meeting on 20 Mar 2026 with Ninety One; only public information, no UPSI.","[Analyst/Investor Meet As On 20-03-2026 9h - Virtual investor meeting on 20 Mar 2026 with Ninety One; only public information, no UPSI.](https://www.bseindia.com/xml-data/corpfiling/AttachLive/b703c0de-068d-40dc-b5a1-370e9e3e6331.pdf)"
,"9h - Provisional Q4/FY2026 business update: global business ₹16.98 lakh crore, deposits ₹9.27 lakh crore.","[Q4 Quarter/Year Ended 31St March, 2026 Financial Result (Provisional) 9h - Provisional Q4/FY2026 business update: global business ₹16.98 lakh crore, deposits ₹9.27 lakh crore.](https://www.bseindia.com/xml-data/corpfiling/AttachLive/6405dc55-052d-4307-b86b-70b969b2b993.pdf)"
,"9h - Board approved Rs. 7,500 crore Basel-III bond issuance in FY2026-27.","[Board Meeting Outcome for Considered & Approved Capital Raising Upto Rs.7,500 Crores By Issue Of Basel III Compliant Tier I & Tier II Bonds Of Rs.2,500 Crores And Rs.5,000 Crores Respectively. 9h - Board approved Rs. 7,500 crore Basel-III bond issuance in FY2026-27.](https://www.bseindia.com/xml-data/corpfiling/AttachLive/bb5a7b84-cbf0-4edf-b216-4e0b2146eef4.pdf)"
,"9h - Bank of India met Dymon Asia Capital on 20 Mar 2026; one-to-one physical meeting; only public information, no UPSI","[Analyst Meet As On 20-03-2026. 9h - Bank of India met Dymon Asia Capital on 20 Mar 2026; one-to-one physical meeting; only public information, no UPSI](https://www.bseindia.com/xml-data/corpfiling/AttachLive/287f298a-558b-4562-b6ab-a76226204d32.pdf)"
,9h - Bank of India CVO Vishnu Kumar Gupta superannuated on 30 April 2026.,[Announcement under Regulation 30 (LODR)-Change in Management 9h - Bank of India CVO Vishnu Kumar Gupta superannuated on 30 April 2026.](https://www.bseindia.com/xml-data/corpfiling/AttachLive/2558777f-7711-4d1f-9db8-b64e99d1b1e7.pdf)
,9 Mar - Bank of India virtual one-to-one meeting with Schonfeld Strategic Advisors on 09.03.2026; only public information shared.,[Analyst/Investor Meet On 09-03-2026 9 Mar - Bank of India virtual one-to-one meeting with Schonfeld Strategic Advisors on 09.03.2026; only public information shared.](https://www.bseindia.com/xml-data/corpfiling/AttachHis/1ca631a5-d94c-4f47-ac2e-23cb0dfe4805.pdf)
,9 Apr - Newspaper Publication - Special Window for Transfer and Dematerialization of Physical Securities,[Announcement under Regulation 30 (LODR)-Newspaper Publication 9 Apr - Newspaper Publication - Special Window for Transfer and Dematerialization of Physical Securities](https://www.bseindia.com/xml-data/corpfiling/AttachHis/0fec358a-f1e5-4c4c-b4f5-c876f0a9d0ab.pdf)
,"8h - RBI imposed Rs.58,50,000 penalty on Bank of India for PSL charges and TDR interest, dated 27.03.2026.","[Disclosure Under Regulation 30 Of The SEBI (LODR), Regulation 2015. 8h - RBI imposed Rs.58,50,000 penalty on Bank of India for PSL charges and TDR interest, dated 27.03.2026.](https://www.bseindia.com/xml-data/corpfiling/AttachLive/c43e850c-42ef-46b2-ac97-8de434840b3d.pdf)"
,8h - Bank of India keeps MCLR and RBLR unchanged from 01.05.2026; fixes updated FRS rates.,[Announcement under Regulation 30 (LODR)-Interest Rates Updates 8h - Bank of India keeps MCLR and RBLR unchanged from 01.05.2026; fixes updated FRS rates.](https://www.bseindia.com/xml-data/corpfiling/AttachLive/b1ef3fba-f3f6-4cf3-89a8-61fcc5e1cfaa.pdf)
