Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,4524,4337,4162,4333,4761,4685,4519,4712,4943,5066,4818,5089
Expenses,3737,3538,3399,3598,4037,3811,3717,3988,4007,4123,3991,4275
Operating Profit,787,799,763,736,724,873,802,724,936,943,827,814
OPM %,17,18,18,17,15,19,18,15,19,19,17,16
Other Income,66,269,105,29,187,81,109,74,85,78,174,83
Interest,155,53,29,31,37,51,39,34,41,39,24,27
Depreciation,75,81,84,77,80,86,84,86,89,88,89,83
Profit before tax,624,934,756,656,794,818,788,678,891,893,889,787
Tax %,34,22,27,28,35,23,26,27,36,27,12,26
Net Profit,412,731,549,472,516,627,585,498,566,655,781,583
EPS in Rs,17.49,65.46,40.73,31.86,36.22,48.58,44.24,34.5,34.64,45.34,63.63,41.3
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,10238,11423,11889,13396,14544,16623,17109,18298,19539,19915,,
Expenses,8919,9741,10138,11247,12939,14897,14242,15162,16107,16395,,
Operating Profit,1319,1683,1751,2150,1605,1726,2867,3136,3432,3520,,
OPM %,13,15,15,16,11,10,17,17,18,18,,
Other Income,201,391,440,338,376,-781,290,406,409,419,,
Interest,55,60,124,151,252,425,364,159,138,131,,
Depreciation,153,172,200,213,215,239,313,326,352,349,,
Profit before tax,1312,1841,1868,2124,1514,281,2479,3057,3351,3460,,
Tax %,41,35,31,40,47,290,32,28,25,—,,
Net Profit,773,1189,1280,1278,809,-534,1689,2199,2499,2584,,
EPS in Rs,39.76,89,85.75,52.96,9.09,-240.22,91.24,160.9,178.1,184.91,,
Dividend Payout %,3,1,1,2,13,0,1,11,10,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,14,14,14,14,14,14,14,14,14,14,,
Reserves,3664,3950,4403,5080,5462,5483,4018,4614,5618,7028,,
Borrowings,1014,1024,956,2045,2670,5880,6542,2161,1574,1590,,
Other Liabilities,2699,3344,4054,4190,4271,3874,5103,5121,5514,5904,,
Total Liabilities,7391,8332,9427,11329,12418,15251,15677,11911,12721,14536,,
Fixed Assets,2217,2373,2717,2889,2802,2763,3638,3751,3880,3814,,
CWIP,33,207,108,51,131,561,108,189,90,42,,
Investments,2365,2832,3221,4998,4638,3818,4795,4281,5332,6751,,
Other Assets,2776,2920,3381,3391,4847,8109,7136,3690,3419,3928,,
Total Assets,7391,8332,9427,11329,12418,15251,15677,11911,12721,14536,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,411,1213,1104,1409,1692,1447,2475,1935,2239,2419,,
Cash from Investing Activity,-357,-967,-772,-1643,-393,-2993,-1819,3912,-866,-924,,
Cash from Financing Activity,-26,-221,-368,267,-866,1494,-705,-5648,-1781,-1132,,
Net Cash Flow,27,26,-35,33,433,-52,-50,199,-409,363,,
Free Cash Flow,64,796,694,1152,1441,886,1884,1678,1979,2287,,
CFO/OP,64,130,101,110,115,135,190,97,97,98,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,9,13,15,11,9,10,9,10,10,10,,
Inventory Days,47,43,48,43,56,59,47,47,44,45,,
Days Payable,50,60,64,56,64,54,55,63,61,63,,
Cash Conversion Cycle,5,-4,-1,-1,1,14,1,-6,-7,-8,,
Working Capital Days,21,14,21,-11,-24,-39,-56,-35,-27,-30,,
ROCE %,27,21,27,24,24,16,16,28,36,33,,
