Item,Date,Document
,2026-09-08,[Announcement under Regulation 30 (LODR)-Appointment of Statutory Auditor/s](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=e824da9f-e8f8-4446-a03e-785c57529371.pdf)
,2026-09-04,[Newspaper Advertisement For AGM 2025-26](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=01e35b47-28bf-40b7-a3f1-3d0f1be522a3.pdf)
,2026-09-03,[Reg. 34 (1) Annual Report.](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=22ad0ccf-e4ee-49eb-a5f9-e2df46bbe714.pdf)
,2026-09-03,[Record Date For Final Dividend 2025-26](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=8f8bc5af-3e1d-420f-9836-d823c500e456.pdf)
,2026-09-03,[Business Responsibility and Sustainability Reporting (BRSR)](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=856cfedc-b87a-4085-8b7a-ce619e95e394.pdf)
,2026-09-01,[Announcement under Regulation 30 (LODR)-Change in Management](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=9d216981-2a72-4258-8c5b-a75fa392306e.pdf)
,2026-08-26,[Fines Imposed By Stock Exchanges](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=c1dbbcd9-8906-4307-8e1e-42443b51df81.pdf)
,2026-08-21,[Announcement under Regulation 30 (LODR)-Change in Management](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=024c2bc1-10dd-4975-8311-9a6833a41554.pdf)
,2026-08-18,[Announcement under Regulation 30 (LODR)-Change in Directorate](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=1ffd4b18-1012-4a7b-8f05-1f4f69523d29.pdf)
,2026-08-14,[Board Meeting Outcome for Unaudited Financial Results For The Quarter Ended 30 June 2026](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=829aebd1-325e-48bb-a607-9693e9e2f2c3.pdf)
,Date,Document
,---,---
