Item,Indicator,Value,Signal
,SMA (10),231.48,Sell
,EMA (10),230.57,Sell
,SMA (20),231.62,Sell
,EMA (20),232.68,Sell
,SMA (50),234.98,Sell
,EMA (50),233.06,Sell
,SMA (100),229.03,Sell
,EMA (100),225.35,Buy
,SMA (200),204.18,Buy
,EMA (200),204.61,Buy
,Indicator,Value,Signal
,---,---,---
,RSI (14),42.24,Neutral
,"MACD (12,26,9)",-2.32,Sell
,"Stochastic (14,3,3)",23.25,Neutral
,ADX (14),11.82,Neutral
,Williams %R (14),-78.95,Neutral
,ATR (14),6.41,Neutral
,ROC (12),-0.72,Sell
,Stoch RSI (14),17.93,Buy
,"UO (7,14,28)",43.4,Neutral
