Item,Indicator,Value,Signal
,SMA (10),407.53,Sell
,EMA (10),406.89,Sell
,SMA (20),409.22,Sell
,EMA (20),407.29,Sell
,SMA (50),406.18,Sell
,EMA (50),408.41,Sell
,SMA (100),413.97,Sell
,EMA (100),412.07,Sell
,SMA (200),418.8,Sell
,EMA (200),408.48,Sell
,Indicator,Value,Signal
,---,---,---
,RSI (14),46.39,Neutral
,"MACD (12,26,9)",-0.17,Sell
,"Stochastic (14,3,3)",25.18,Neutral
,ADX (14),9.91,Neutral
,Williams %R (14),-69.55,Neutral
,ATR (14),6.88,Neutral
,ROC (12),-0.63,Sell
,Stoch RSI (14),6.4,Buy
,"UO (7,14,28)",43.33,Neutral
