Item,Date,Document
,2026-09-04,[Reg. 34 (1) Annual Report.](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=806b7adc-754b-4676-a319-3faff84e3e0f.pdf)
,2026-09-04,[Announcement under Regulation 30 (LODR)-Newspaper Publication](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=0492ea63-1454-40c0-8310-c9546c3c9d28.pdf)
,2026-09-03,[Notice Of Annual General Meeting Of Shareholders.](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=c224da35-b1aa-4b86-834f-c129403196d0.pdf)
,2026-09-03,[Record Date For The Purpose Of Dividend And Annual General Meeting.](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=15ba82f4-f9e9-4b76-a1ec-8de63f6a5a20.pdf)
,2026-09-02,[Announcement under Regulation 30 (LODR)-Award_of_Order_Receipt_of_Order](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=5d93fe02-7e2a-4ba2-a7f6-eb6b2dd342d0.pdf)
,2026-08-31,[Announcement under Regulation 30 (LODR)-Change in Management](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=95f1c221-bc9f-4280-b97f-af7195e3433b.pdf)
,2026-08-31,[Announcement under Regulation 30 (LODR)-Change in Management](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=d802ebf4-e500-4e3f-8448-4296a3f52ab3.pdf)
,2026-08-21,[Announcement under Regulation 30 (LODR)-Change in Management](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=cf5aae32-8777-4c23-9ccf-57fc573a2696.pdf)
,2026-08-19,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=7853c8c3-ceed-43d9-82ea-b1ac7c7792c9.pdf)
,2026-08-18,[Announcement under Regulation 30 (LODR)-Change in Management](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=a30fa23b-e6df-4289-b015-9bd19e357e6f.pdf)
,Date,Document
,---,---
,2026-08-13,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=071afde3-7749-4f72-b696-299ea835d3e3.pdf)
