Item,Indicator,Value,Signal
,SMA (10),481,Sell
,EMA (10),479.73,Sell
,SMA (20),500.69,Sell
,EMA (20),493.34,Sell
,SMA (50),509.09,Sell
,EMA (50),504.54,Sell
,SMA (100),506.8,Sell
,EMA (100),503.42,Sell
,SMA (200),496.78,Sell
,EMA (200),504.39,Sell
,Indicator,Value,Signal
,---,---,---
,RSI (14),24.41,Buy
,"MACD (12,26,9)",-14.77,Sell
,"Stochastic (14,3,3)",3.55,Buy
,ADX (14),31.68,Buy
,Williams %R (14),-98.26,Buy
,ATR (14),12.95,Neutral
,ROC (12),-9.06,Sell
,Stoch RSI (14),0,Buy
,"UO (7,14,28)",28.82,Buy
