Item,Indicator,Value,Signal
,SMA (10),1996.4,Sell
,EMA (10),1987.63,Sell
,SMA (20),2026.81,Sell
,EMA (20),2021.49,Sell
,SMA (50),2101.11,Sell
,EMA (50),2052.67,Sell
,SMA (100),2033.76,Sell
,EMA (100),1998.8,Sell
,SMA (200),1815.37,Buy
,EMA (200),1838.83,Buy
,Indicator,Value,Signal
,---,---,---
,RSI (14),37.32,Neutral
,"MACD (12,26,9)",-40.31,Sell
,"Stochastic (14,3,3)",21.16,Neutral
,ADX (14),21.74,Neutral
,Williams %R (14),-81.51,Buy
,ATR (14),52.12,Neutral
,ROC (12),-3,Sell
,Stoch RSI (14),9.26,Buy
,"UO (7,14,28)",50.8,Neutral
