Item,Indicator,Value,Signal
,SMA (10),429.74,Buy
,EMA (10),428.25,Buy
,SMA (20),425.67,Buy
,EMA (20),425.19,Buy
,SMA (50),415.08,Buy
,EMA (50),414.97,Buy
,SMA (100),403.49,Buy
,EMA (100),392.1,Buy
,SMA (200),337.13,Buy
,EMA (200),352.17,Buy
,Indicator,Value,Signal
,---,---,---
,RSI (14),55.25,Neutral
,"MACD (12,26,9)",4.36,Sell
,"Stochastic (14,3,3)",67.39,Neutral
,ADX (14),27.87,Buy
,Williams %R (14),-33.77,Neutral
,ATR (14),11.99,Neutral
,ROC (12),3.73,Buy
,Stoch RSI (14),33.63,Neutral
,"UO (7,14,28)",55.7,Neutral
