Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,598,613,606,565,713,676,585,624,796,731,667,678
Expenses,509,537,445,472,604,621,506,525,665,636,577,579
Operating Profit,89,76,161,93,109,56,79,99,130,95,91,99
OPM %,15,12,27,16,15,8,13,16,16,13,14,15
Other Income,6,6,11,7,8,7,7,8,0,10,14,11
Interest,2,2,2,2,2,3,3,3,4,3,2,3
Depreciation,15,15,15,17,17,18,18,18,18,18,19,19
Profit before tax,78,65,155,80,97,42,65,85,109,84,84,87
Tax %,22,24,25,26,26,26,25,26,29,23,24,26
Net Profit,61,49,116,60,72,31,48,63,78,65,64,65
EPS in Rs,2.45,1.96,4.64,2.38,2.88,1.23,1.93,2.52,3.1,2.58,2.54,2.58
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,781,901,1075,1308,1599,1944,2295,2541,2817,2872,,
Expenses,681,808,980,1163,1456,1732,1900,2204,2402,2457,,
Operating Profit,100,93,94,145,142,212,395,337,415,415,,
OPM %,13,10,9,11,9,11,17,13,15,14,,
Other Income,3,10,8,11,10,22,26,28,32,35,,
Interest,5,4,6,3,7,9,9,11,12,12,,
Depreciation,17,22,34,33,37,45,56,70,73,74,,
Profit before tax,82,76,62,120,109,181,356,282,362,364,,
Tax %,36,33,11,25,27,23,24,26,26,—,,
Net Profit,53,51,55,90,80,138,270,210,269,270,,
EPS in Rs,22.63,20.98,22.82,36.91,3.2,5.55,10.77,8.37,10.73,10.8,,
Dividend Payout %,9,10,9,5,3,14,9,12,12,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,23,23,24,24,24,25,25,25,25,25,,
Reserves,245,284,446,504,580,798,934,1200,1397,1649,,
Borrowings,136,142,73,54,83,141,138,139,177,217,,
Other Liabilities,55,73,87,93,115,118,143,138,154,159,,
Total Liabilities,460,523,630,675,803,1081,1240,1503,1753,2050,,
Fixed Assets,229,313,396,406,406,480,607,753,756,751,,
CWIP,86,47,13,3,33,48,70,12,94,147,,
Investments,2,3,3,36,87,146,41,60,180,238,,
Other Assets,143,160,218,230,277,407,523,677,723,914,,
Total Assets,460,523,630,675,803,1081,1240,1503,1753,2050,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,37,78,64,51,121,60,177,243,214,294,,
Cash from Investing Activity,-69,-63,-67,-54,-129,-220,-131,-207,-192,-311,,
Cash from Financing Activity,32,-10,58,-26,2,157,-2,-45,-8,8,,
Net Cash Flow,0,5,55,-29,-6,-4,43,-10,14,-9,,
Free Cash Flow,-32,12,-9,12,51,-33,89,120,104,158,,
CFO/OP,69,97,92,67,96,71,105,81,82,93,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,17,16,16,14,13,17,16,18,13,14,,
Inventory Days,25,26,26,22,26,26,20,18,21,21,,
Days Payable,21,18,20,8,18,15,14,12,12,10,,
Cash Conversion Cycle,21,24,22,27,21,28,22,23,22,25,,
Working Capital Days,-7,-28,4,7,-2,15,21,20,29,25,,
ROCE %,18,21,16,12,19,14,18,30,20,22,,
