Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,3462,3954,3917,3433,3590,3821,4417,3942,4296,4173,4517,4336
Expenses,2745,3051,3004,2812,2905,3070,3339,3176,3460,3340,3496,3489
Operating Profit,717,903,913,620,685,752,1078,766,835,834,1020,847
OPM %,21,23,23,18,19,20,24,19,19,20,23,20
Other Income,134,587,40,1166,58,53,57,62,81,-176,-28,41
Interest,248,267,227,236,226,223,212,277,272,210,232,213
Depreciation,389,414,407,405,420,425,436,455,473,515,513,547
Profit before tax,214,808,319,1146,98,156,487,97,171,-68,248,128
Tax %,19,7,30,25,72,48,6,8,22,-24,20,-7
Net Profit,173,753,223,862,27,81,459,89,133,-52,199,137
EPS in Rs,1.05,5.5,1.13,5.49,-0.13,0.21,2.87,0.23,0.63,1.08,0.78,0.87
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,4123,5514,6300,7143,8184,11174,14756,15262,16927,17321,,
Expenses,3294,4121,4696,5562,6391,8762,11540,12008,13456,13785,,
Operating Profit,829,1394,1604,1581,1793,2412,3216,3254,3471,3536,,
OPM %,20,25,25,22,22,22,22,21,21,20,,
Other Income,228,340,199,260,72,18,853,1217,-76,-82,,
Interest,62,71,65,58,68,419,974,897,990,927,,
Depreciation,385,448,552,715,814,1113,1569,1687,1957,2049,,
Profit before tax,610,1215,1186,1068,983,897,1525,1887,448,479,,
Tax %,26,17,27,21,22,28,15,24,18,—,,
Net Profit,453,1003,871,846,772,643,1298,1429,369,416,,
EPS in Rs,3.1,7.54,6.24,6.17,5.4,3.85,8.52,8.44,2.38,3.36,,
Dividend Payout %,16,7,0,0,9,39,6,6,21,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,100,300,300,600,600,600,600,600,600,810,,
Reserves,4738,4881,5798,6106,7027,7832,17267,19183,21044,33221,,
Borrowings,2302,2264,2422,2715,4481,5147,18019,16277,18362,15434,,
Other Liabilities,2254,2545,3672,4993,6382,6763,15856,19693,18534,13943,,
Total Liabilities,9394,9990,12192,14414,18490,20342,51742,55753,58540,63409,,
Fixed Assets,3626,3700,4471,5971,6364,6569,29468,30644,31963,36486,,
CWIP,839,1303,1899,2196,2800,4110,7317,7993,8508,6987,,
Investments,1253,675,1012,966,1952,1588,2069,1000,1127,1779,,
Other Assets,3676,4312,4811,5281,7374,8074,12888,16117,16941,18157,,
Total Assets,9394,9990,12192,14414,18490,20342,51742,55753,58540,63409,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,640,662,1155,1283,1160,1177,1852,2954,4061,1994,,
Cash from Investing Activity,-510,-684,-703,-1505,-3651,-1662,-14260,-1002,-203,-1883,,
Cash from Financing Activity,-178,-240,-242,388,2564,242,13049,-2333,-1854,-924,,
Net Cash Flow,-47,-261,210,165,72,-243,641,-380,2004,-812,,
Free Cash Flow,32,-251,-337,-546,-577,-746,129,1046,1718,82,,
CFO/OP,86,104,104,101,86,80,86,101,139,64,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,83,94,86,71,77,92,117,154,131,129,,
Inventory Days,160,161,199,263,304,309,423,368,346,390,,
Days Payable,187,224,231,243,246,216,383,467,460,434,,
Cash Conversion Cycle,57,31,53,91,134,184,157,55,18,85,,
Working Capital Days,24,6,-2,-31,8,71,3,-68,-63,-17,,
ROCE %,12,8,13,13,10,9,6,6,6,4,,
