Item,Indicator,Value,Signal
,SMA (10),397.45,Sell
,EMA (10),397.51,Sell
,SMA (20),405.92,Sell
,EMA (20),404.31,Sell
,SMA (50),418.35,Sell
,EMA (50),411.7,Sell
,SMA (100),412.47,Sell
,EMA (100),408.61,Sell
,SMA (200),395.7,Sell
,EMA (200),397.09,Sell
,Indicator,Value,Signal
,---,---,---
,RSI (14),31.87,Neutral
,"MACD (12,26,9)",-8.02,Sell
,"Stochastic (14,3,3)",15.05,Buy
,ADX (14),16.78,Neutral
,Williams %R (14),-83.76,Buy
,ATR (14),8.92,Neutral
,ROC (12),-6.43,Sell
,Stoch RSI (14),9.99,Buy
,"UO (7,14,28)",34.61,Neutral
