Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,1324,1383,1323,1343,1448,1512,1417,1442,1549,1616,1533,1658
Expenses,1102,1170,1097,1141,1230,1272,1204,1246,1297,1335,1311,1396
Operating Profit,223,213,226,202,218,239,213,196,252,281,222,261
OPM %,17,15,17,15,15,16,15,14,16,17,14,16
Other Income,5,24,11,9,9,12,12,10,10,-33,12,15
Interest,20,20,19,21,21,21,20,19,22,24,22,21
Depreciation,111,111,113,118,121,121,124,121,131,145,140,137
Profit before tax,98,108,105,72,85,109,81,66,109,79,73,119
Tax %,25,17,26,26,26,26,32,26,26,14,33,26
Net Profit,73,89,78,53,63,81,55,49,81,68,49,88
EPS in Rs,30.79,37.46,32.78,22.51,26.48,34.14,23.24,20.58,34.3,28.8,20.59,37.29
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,2799,3174,3175,3288,4410,5172,5268,5720,6141,6357,,
Expenses,2447,2888,2701,2602,3410,4235,4415,4844,5190,5340,,
Operating Profit,352,286,475,686,1000,938,853,876,951,1016,,
OPM %,13,9,15,21,23,18,16,15,15,16,,
Other Income,20,19,-49,-6,-5,32,51,38,-2,3,,
Interest,40,43,117,111,87,67,78,82,86,88,,
Depreciation,114,128,347,430,395,394,433,485,536,552,,
Profit before tax,217,134,-39,140,512,508,393,347,327,380,,
Tax %,33,33,7,27,25,27,23,27,24,—,,
Net Profit,145,90,-42,102,382,371,301,252,247,287,,
EPS in Rs,60.99,37.83,-17.64,42.91,161.08,156.16,126.86,106.38,104.26,120.98,,
Dividend Payout %,21,33,0,35,37,19,20,24,24,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,24,24,24,24,24,24,24,24,24,24,,
Reserves,406,508,554,467,568,848,1156,1344,1535,1753,,
Borrowings,491,418,573,530,1522,1066,1120,1073,1007,1142,,
Other Liabilities,477,553,661,1620,783,891,923,1021,1097,1208,,
Total Liabilities,1397,1503,1811,2641,2897,2829,3223,3461,3663,4127,,
Fixed Assets,471,518,654,1665,1583,1437,1437,1823,1814,2035,,
CWIP,67,99,91,18,7,69,439,74,77,27,,
Investments,0,0,0,0,150,207,171,307,386,413,,
Other Assets,860,885,1066,958,1158,1115,1176,1257,1386,1652,,
Total Assets,1397,1503,1811,2641,2897,2829,3223,3461,3663,4127,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,225,317,243,364,750,860,717,847,735,810,,
Cash from Investing Activity,-228,-190,-280,-193,-529,11,-514,-375,-300,-315,,
Cash from Financing Activity,-33,-152,79,-340,-235,-772,-291,-401,-434,-424,,
Net Cash Flow,-36,-25,42,-169,-14,99,-89,71,2,72,,
Free Cash Flow,57,119,-44,167,590,689,147,585,488,498,,
CFO/OP,91,114,113,90,113,100,93,107,94,98,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,49,55,56,61,57,48,45,46,50,55,,
Cash Conversion Cycle,49,55,56,61,57,48,45,46,50,55,,
Working Capital Days,-18,-17,-22,-37,-74,-49,-23,-47,-23,-35,,
ROCE %,31,28,17,13,17,31,26,19,16,16,,
