Item,Indicator,Value,Signal
,SMA (10),4968.49,Sell
,EMA (10),4949.71,Sell
,SMA (20),5008.62,Sell
,EMA (20),4991.06,Sell
,SMA (50),5016.44,Sell
,EMA (50),5012.97,Sell
,SMA (100),5020.17,Sell
,EMA (100),5064.82,Sell
,SMA (200),5225.77,Sell
,EMA (200),5257.85,Sell
,Indicator,Value,Signal
,---,---,---
,RSI (14),35.91,Neutral
,"MACD (12,26,9)",-40.18,Sell
,"Stochastic (14,3,3)",6.82,Buy
,ADX (14),19.92,Neutral
,Williams %R (14),-94.62,Buy
,ATR (14),98.6,Neutral
,ROC (12),-3.52,Sell
,Stoch RSI (14),0,Buy
,"UO (7,14,28)",44.56,Neutral
