Item,Date,Document
,"9 Feb - Quarter ended 31 Dec 2025: Revenue Rs960.15cr, PBT Rs66.14cr, PAT Rs48.58cr, EPS Rs34.48.","[Announcement under Regulation 30 (LODR)-Press Release / Media Release 9 Feb - Quarter ended 31 Dec 2025: Revenue Rs960.15cr, PBT Rs66.14cr, PAT Rs48.58cr, EPS Rs34.48.](https://www.bseindia.com/xml-data/corpfiling/AttachHis/7d58fb90-0ff1-4952-82a1-45f500974717.pdf)"
,"9 Feb - Q3 FY26 audited results: revenue Rs.95,015, profit after tax Rs.4,858; board approved 9 Feb 2026.","[Audited Results For Quarter Ended 31 December, 2025 9 Feb - Q3 FY26 audited results: revenue Rs.95,015, profit after tax Rs.4,858; board approved 9 Feb 2026.](https://www.bseindia.com/xml-data/corpfiling/AttachHis/7245c325-be57-4947-bb83-fc5a40602e96.pdf)"
,9 Apr - Shri Sanjay Khanna appointed C&MD of BPCL effective 9 April 2026 until superannuation.,[Announcement under Regulation 30 (LODR)-Change in Directorate 9 Apr - Shri Sanjay Khanna appointed C&MD of BPCL effective 9 April 2026 until superannuation.](https://www.bseindia.com/xml-data/corpfiling/AttachHis/f159d811-d7f0-496d-8245-22372a5aba36.pdf)
,9 Apr - BPCL filed Regulation 74(5) depository compliance certificate for quarter ended 31 March 2026.,"[Compliances-Certificate under Reg. 74 (5) of SEBI (DP) Regulations, 2018 9 Apr - BPCL filed Regulation 74(5) depository compliance certificate for quarter ended 31 March 2026.](https://www.bseindia.com/xml-data/corpfiling/AttachHis/8ef3c176-320c-4c81-82bb-bfebe0837302.pdf)"
,8 May - Board meeting to consider FY26 results rescheduled to 19 May 2026; trading window closes till 21 May 2026.,[Update on board meeting 8 May - Board meeting to consider FY26 results rescheduled to 19 May 2026; trading window closes till 21 May 2026.](https://www.bseindia.com/xml-data/corpfiling/AttachLive/8b2cd398-8f81-4239-96c5-6f5b98abc259.pdf)
,8 Apr - NGT upheld CPCB order for BPCL to pay Rs.1 crore environmental compensation; VRS installed at 41 sites.,[Intimation Under Regulation 30 8 Apr - NGT upheld CPCB order for BPCL to pay Rs.1 crore environmental compensation; VRS installed at 41 sites.](https://www.bseindia.com/xml-data/corpfiling/AttachHis/2143eb56-f876-4c95-b7c8-1162d0d34f6a.pdf)
,5 May - Board meets 12 May 2026 to consider FY26 and quarter ended 31 March 2026 financial results.,"[Board Meeting Intimation for Considering The Financial Results For The Quarter And Year Ended 31St March, 2026 5 May - Board meets 12 May 2026 to consider FY26 and quarter ended 31 March 2026 financial results.](https://www.bseindia.com/xml-data/corpfiling/AttachLive/e48c749e-3cb8-47ca-a802-f55fd29cad61.pdf)"
,5 May - Board meets 12 May 2026 to approve Q4 and FY2026 financial results; trading window closed till 14 May.,"[Board Meeting Intimation for Considering The Financial Results For The Quarter And Year Ended 31St March, 2026 5 May - Board meets 12 May 2026 to approve Q4 and FY2026 financial results; trading window closed till 14 May.](https://www.bseindia.com/xml-data/corpfiling/AttachLive/5012be3c-e6af-4c83-84dc-8582860d0ad8.pdf)"
,"28 Mar - Three independent directors (Pradeep V. Agrawal, Gopal K. Agarwal, Prof. Bhagwati P. Saraswat) ceased on 28 March 2026.","[Announcement under Regulation 30 (LODR)-Change in Directorate 28 Mar - Three independent directors (Pradeep V. Agrawal, Gopal K. Agarwal, Prof. Bhagwati P. Saraswat) ceased on 28 March 2026.](https://www.bseindia.com/xml-data/corpfiling/AttachHis/31a364bc-c81a-4395-bc7a-1cd8b0e89b9b.pdf)"
,26 Feb - Incorporated Bharat Petroleum Global Energy Services (Singapore) Pte. Ltd. on 26 Feb 2026; USD 2 million capital for trading desk.,[Intimation Under Regulation 30 26 Feb - Incorporated Bharat Petroleum Global Energy Services (Singapore) Pte. Ltd. on 26 Feb 2026; USD 2 million capital for trading desk.](https://www.bseindia.com/xml-data/corpfiling/AttachHis/8508a9f9-e6a0-480f-b10f-38c3926c56c3.pdf)
,Date,Document
,---,---
,2026-09-10,[Announcement under Regulation 30 (LODR)-Appointment of Statutory Auditor/s](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=65807d71-2079-4cc8-a212-51334b4ffc10.pdf)
,2026-09-08,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=99077274-c907-4014-ad14-686a864dbf8c.pdf)
,2026-09-03,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=eaeb70df-7fb4-41ac-a55d-65b72b299dce.pdf)
,2026-09-01,[Tenure Of Director (Finance)](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=a8746112-dbd8-4867-bf81-9a261b34dc36.pdf)
,2026-08-28,[Shareholder Meeting / Postal Ballot-Scrutinizers Report](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=fa56eeba-91a4-4b0a-955c-ab01a0d54507.pdf)
,2026-08-28,[Announcement under Regulation 30 (LODR)-Amendments to Memorandum & Articles of Association](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=751182c9-89c3-45f2-9ce2-624098601edc.pdf)
,2026-08-27,[Chairmans Statement At The AGM Held On 27.8.2026](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=072ad683-fc5d-4b5c-a0d6-af7baa433b29.pdf)
,2026-08-27,[Shareholder Meeting / Postal Ballot-Outcome of AGM](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=87c8b2e1-bb21-406c-9eb1-841d42bfa018.pdf)
,2026-08-26,[Intimation Under Regulation 30](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=a978fa89-dcb4-43c5-a6fd-2196944852ec.pdf)
,2026-08-20,[Intimation Under Regulation 30](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=f8368069-f2ae-4068-8047-423b7b79b84d.pdf)
,Date,Document
,---,---
,2026-07-23,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=bf36e46f-4549-4a7c-be56-7e62477a69e3.pdf)
,2026-05-20,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=05cead84-d14d-4cb5-b64c-bcb994bf5fbf.pdf)
,2025-08-14,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=12801eec-3153-4dbe-b1e0-0e67270f2d12.pdf)
,2025-05-02,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=2bdce5e2-353b-45be-95d5-2292f72cf554.pdf)
,2024-10-28,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=7adc09e9-88c4-4627-b08a-bf2fee57715a.pdf)
,2024-07-20,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=c2c0af5f-ebf9-4dc8-abfa-f12145f19743.pdf)
,2024-05-10,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=597cdd77-89e2-4d5a-8bf3-30e56a591020.pdf)
,2024-01-30,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=01930a51-0002-4c8e-9807-de5abbdd30a3.pdf)
,2023-10-30,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=fd6facbf-ed79-413f-a510-310df453a971.pdf)
,2023-07-27,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=87f5cdab-4ec1-4833-ab01-121ead475efe.pdf)
,Date,Document
,---,---
,2026-07-22,[Financial Results For Quarter Ended 30Th June 2026](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=e8099ce3-7da4-4f85-a09a-bb1c8d1b04a2.pdf)
,2026-05-19,[Financial Results](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=fdd0360b-8c51-48a1-92ca-c356b0354840.pdf)
,2026-01-23,[Intimation On Unaudited Results](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=7e010ce1-d7d2-445d-a7b1-de699e62d701.pdf)
,2025-10-31,[Unaudited Financial Results](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=c462fe34-7106-460e-80ed-57a1735caab9.pdf)
,2025-08-13,[Intimation On Financial Results](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=f1f2d892-bc67-4601-bca3-e2b421749c19.pdf)
,2025-04-29,[Audited Financial Results](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=26952035-8a4c-469f-9fad-6fae3f27bc4a.pdf)
,2025-01-22,[Unaudited Financial Results](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=d244b2d5-695f-4bc0-a542-e9598a93e707.pdf)
