Item,Indicator,Value,Signal
,SMA (10),312.49,Sell
,EMA (10),309.67,Sell
,SMA (20),313.19,Sell
,EMA (20),312.44,Sell
,SMA (50),314.6,Sell
,EMA (50),313.02,Sell
,SMA (100),308,Sell
,EMA (100),314.28,Sell
,SMA (200),328.03,Sell
,EMA (200),317.51,Sell
,Indicator,Value,Signal
,---,---,---
,RSI (14),38.61,Neutral
,"MACD (12,26,9)",-2.52,Sell
,"Stochastic (14,3,3)",20.47,Neutral
,ADX (14),16.91,Neutral
,Williams %R (14),-71.99,Neutral
,ATR (14),7.41,Neutral
,ROC (12),-4.25,Sell
,Stoch RSI (14),9.71,Buy
,"UO (7,14,28)",47.83,Neutral
