Item,Date,Document
,"9h - Postal ballot (Feb 19–Mar 20, 2026) for special resolution to replace Articles of Association due to control change.","[Postal Ballot Notice - Disclosure Under Regulation 30 Of The SEBI (LODR) Regulations, 2015 ('SEBI Listing Regulations') 9h - Postal ballot (Feb 19–Mar 20, 2026) for special resolution to replace Articles of Association due to control change.](https://www.bseindia.com/xml-data/corpfiling/AttachLive/6c87b085-c2fb-48a0-9c12-2dbb03e12710.pdf)"
,"3 Mar - Group Meeting/one on one meet -Physical(Mumbai) on 9th March,2026 from 12.00 p.m onwards","[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation 3 Mar - Group Meeting/one on one meet -Physical(Mumbai) on 9th March,2026 from 12.00 p.m onwards](https://www.bseindia.com/xml-data/corpfiling/AttachHis/7a524be9-9b66-4d42-855a-48f47964559f.pdf)"
,2d - Newspaper Publication of the Extract of Unaudited Financial Results for the Third Quarter and Nine Months Ended on 31.12.2025,[Announcement under Regulation 30 (LODR)-Newspaper Publication 2d - Newspaper Publication of the Extract of Unaudited Financial Results for the Third Quarter and Nine Months Ended on 31.12.2025](https://www.bseindia.com/xml-data/corpfiling/AttachLive/32376d8a-1667-4945-9143-fd9d663035b8.pdf)
,"20 Feb - Share sub-division approved; MOA amended to Rs50 crore authorised capital, 7,00,00,000 equity shares (Rs5) on 19 Feb 2026.","[Announcement under Regulation 30 (LODR)-Amendments to Memorandum & Articles of Association 20 Feb - Share sub-division approved; MOA amended to Rs50 crore authorised capital, 7,00,00,000 equity shares (Rs5) on 19 Feb 2026.](https://www.bseindia.com/xml-data/corpfiling/AttachHis/6a6d81ef-0281-4d75-8333-2e9f9407ffef.pdf)"
,"20 Feb - Record date Mar 02, 2026 for 1₹10→2₹5 share subdivision; shareholder approval Feb 19, 2026.","[Fixation Of Record Date For Sub-Division/ Split Of The Equity Shares Of The Company 20 Feb - Record date Mar 02, 2026 for 1₹10→2₹5 share subdivision; shareholder approval Feb 19, 2026.](https://www.bseindia.com/xml-data/corpfiling/AttachHis/981c1fa3-5bed-42ab-b909-0afe3e8ecca3.pdf)"
,"2 Mar - Mr. Kandarp Trivedi resigned as Independent Director effective March 2, 2026; ceased chair/member of multiple committees.","[Announcement under Regulation 30 (LODR)-Resignation of Director 2 Mar - Mr. Kandarp Trivedi resigned as Independent Director effective March 2, 2026; ceased chair/member of multiple committees.](https://www.bseindia.com/xml-data/corpfiling/AttachHis/0778bb36-5b5f-4c4c-b9e7-e9d6655284db.pdf)"
,"2 Mar - Independent Director Mr. Kandarp Trivedi resigned effective March 2, 2026; ceases committee memberships.","[Announcement under Regulation 30 (LODR)-Resignation of Director 2 Mar - Independent Director Mr. Kandarp Trivedi resigned effective March 2, 2026; ceases committee memberships.](https://www.bseindia.com/xml-data/corpfiling/AttachHis/251ad720-c660-4144-9d56-5f44a0c4c9a3.pdf)"
,"1d - Investor Presentation for the third quarter and Nine months ended December 31, 2025","[Announcement under Regulation 30 (LODR)-Investor Presentation 1d - Investor Presentation for the third quarter and Nine months ended December 31, 2025](https://www.bseindia.com/xml-data/corpfiling/AttachLive/ad53c732-aa7a-4755-a354-1e0f9fefec7c.pdf)"
,"19 Feb - Newspaper Advertisement of Dispatch of Postal Ballot Notice dated 18th February,2026","[Announcement under Regulation 30 (LODR)-Newspaper Publication 19 Feb - Newspaper Advertisement of Dispatch of Postal Ballot Notice dated 18th February,2026](https://www.bseindia.com/xml-data/corpfiling/AttachHis/17c9c944-27d5-44f8-84ab-28cbde295d52.pdf)"
,"13h - Board adopted new AOA, approved postal ballot and scrutinizer; shareholder approval sought (18 Feb 2026).","[Board Meeting Outcome for Submission Of Outcome Of Board Meeting Held On 18Th February 2026 As per Regulation 30 Of The SEBI (Listing Obligation And Disclosure Requirements) Regualtions,2015 13h - Board adopted new AOA, approved postal ballot and scrutinizer; shareholder approval sought (18 Feb 2026).](https://www.bseindia.com/xml-data/corpfiling/AttachLive/f90d8e51-7fd4-4bae-8728-28d6eff1d00f.pdf)"
,Date,Document
,---,---
,2026-09-10,[Updates](https://nsearchives.nseindia.com/corporate/BSE1_10092026180312_NSEIntimation.pdf)
