Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Revenue,871,901,927,931,962,986,999,1020,1049,1073,1074,1096
Expenses,122,77,70,71,70,78,82,91,75,85,83,96
Financing Profit,201,258,273,258,277,272,282,281,336,345,356,341
Financing Margin %,23,29,29,28,29,28,28,28,32,32,33,31
Other Income,0,1,1,0,0,0,1,0,0,0,2,0
Interest,548,566,584,603,616,636,634,648,639,642,634,659
Depreciation,3,3,4,3,3,3,4,3,4,4,5,3
Profit before tax,198,256,270,255,274,269,279,278,332,341,353,339
Tax %,20,22,23,22,23,21,16,19,24,22,2,21
Net Profit,158,200,209,200,211,212,234,224,251,265,346,268
EPS in Rs,11.87,15.03,15.7,14.99,15.88,15.93,17.57,16.81,18.88,19.89,25.96,20.11
Gross NPA %,0.76,0.91,0.82,0.91,0.88,0.92,0.87,0.98,0.94,0.92,0.85,0.87
Net NPA %,0.43,0.49,0.42,0.49,0.47,0.5,0.46,0.54,0.5,0.49,0.37,0.42
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Revenue,1518,1727,2030,2018,1988,2742,3523,3879,4217,4292,,
Expenses,107,89,158,182,189,205,323,301,334,339,,
Financing Profit,430,468,528,627,644,835,969,1090,1319,1378,,
Financing Margin %,28,27,26,31,32,30,28,28,31,32,,
Other Income,4,4,0,0,1,1,1,0,1,2,,
Interest,981,1170,1345,1209,1155,1702,2232,2488,2564,2574,,
Depreciation,3,3,9,10,10,12,13,13,17,16,,
Profit before tax,431,470,518,618,635,824,958,1077,1304,1364,,
Tax %,34,37,27,26,26,25,22,20,17,—,,
Net Profit,286,297,376,456,471,621,751,857,1086,1130,,
EPS in Rs,21.49,22.29,28.25,34.25,35.38,46.65,56.38,64.37,81.54,84.84,,
Dividend Payout %,9,9,7,6,8,8,11,19,18,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,27,27,27,27,27,27,27,27,27,27,,
Reserves,1050,1460,1756,2123,2583,3040,3621,4317,5041,5954,,
Borrowing,11872,13921,16880,18748,19293,24648,29068,31863,35289,38258,,
Other Liabilities,430,322,67,145,171,230,355,395,158,143,,
Total Liabilities,13379,15730,18729,21044,22074,27944,33070,36602,40514,44381,,
Fixed Assets,10,10,10,38,38,35,45,53,49,50,,
CWIP,0,0,0,0,0,0,0,0,1,60,,
Investments,16,16,16,24,50,1126,1459,1459,2345,2143,,
Other Assets,13352,15704,18703,20981,21986,26784,31566,35090,38119,42128,,
Total Assets,13379,15730,18729,21044,22074,27944,33070,36602,40514,44381,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,-2356,-2018,-2335,-1842,-851,-3916,-4044,-2570,-2255,-2910,,
Cash from Investing Activity,-7,-2,-4,-13,-28,-1380,-327,-170,-785,124,,
Cash from Financing Activity,2363,2019,2739,1826,508,5299,4370,2738,3040,2787,,
Net Cash Flow,0,-1,401,-29,-372,2,-1,-1,0,0,,
Free Cash Flow,-2360,-2021,-2338,-1846,-854,-3920,-4053,-2589,-2272,-2987,,
CFO/OP,-178,-133,-133,-92,-39,-210,-153,-74,-57,-68,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
ROE %,24,22,18,19,19,17,18,19,18,20,,
