Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,1146,1151,1201,1198,1224,1255,1217,1219,1298,1291,1398,1427
Expenses,979,960,992,1004,1029,1078,1071,1098,1142,1134,1254,1292
Operating Profit,168,191,209,194,195,177,146,121,156,157,144,135
OPM %,15,17,17,16,16,14,12,10,12,12,10,9
Other Income,31,25,25,19,23,-77,18,27,23,22,-103,55
Interest,5,5,4,3,4,4,3,3,4,5,6,6
Depreciation,46,48,51,51,52,53,56,59,62,61,65,66
Profit before tax,148,163,180,158,162,43,105,86,113,113,-30,119
Tax %,30,31,21,27,28,13,71,30,34,35,34,33
Net Profit,104,112,143,115,116,38,30,60,74,73,-40,80
EPS in Rs,5.36,5.86,7.09,5.94,6.09,1.83,1.53,3.25,3.91,3.99,-0.92,4.01
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,2374,2689,2599,2632,3325,4654,4702,4894,5206,5414,,
Expenses,1975,2250,2199,2166,2784,3999,3961,4178,4624,4821,,
Operating Profit,400,439,400,466,540,655,741,717,582,593,,
OPM %,17,16,15,18,16,14,16,15,11,11,,
Other Income,37,46,62,32,56,136,118,-23,-35,-3,,
Interest,9,8,6,4,6,24,18,14,19,21,,
Depreciation,106,108,105,99,115,187,191,212,247,253,,
Profit before tax,322,369,351,395,477,580,650,468,282,315,,
Tax %,32,33,22,26,27,24,27,36,40,—,,
Net Profit,220,248,275,293,350,442,476,299,168,188,,
EPS in Rs,11.41,13.09,14.38,15,17.56,21.8,24.24,15.37,10.22,10.99,,
Dividend Payout %,20,21,19,20,20,16,16,26,39,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,19,19,19,19,19,19,19,19,19,19,,
Reserves,1364,1545,1705,1839,2113,2345,2802,3107,3510,3881,,
Borrowings,156,129,97,70,62,240,277,172,216,413,,
Other Liabilities,374,394,401,354,486,692,774,793,835,959,,
Total Liabilities,1913,2088,2222,2283,2679,3296,3872,4091,4580,5271,,
Fixed Assets,705,736,695,748,777,1006,1527,1555,1716,1906,,
CWIP,73,30,46,39,28,58,87,84,118,141,,
Investments,124,180,227,189,127,138,161,172,201,199,,
Other Assets,1011,1141,1254,1307,1747,2094,2096,2280,2544,3025,,
Total Assets,1913,2088,2222,2283,2679,3296,3872,4091,4580,5271,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,295,213,202,407,451,245,430,602,304,367,,
Cash from Investing Activity,-72,-75,-85,-105,-266,-465,-248,-229,-371,-167,,
Cash from Financing Activity,-207,-83,-109,-135,-66,89,-133,-214,-110,119,,
Net Cash Flow,16,55,7,168,119,-131,49,159,-177,320,,
Free Cash Flow,190,121,107,284,348,-315,130,367,28,60,,
CFO/OP,111,81,73,127,119,70,90,109,70,93,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,66,73,70,56,66,53,49,53,57,62,,
Inventory Days,192,199,204,209,187,218,191,183,215,200,,
Days Payable,82,90,80,80,123,117,72,73,71,76,,
Cash Conversion Cycle,176,182,194,185,130,154,169,163,201,187,,
Working Capital Days,74,85,95,88,77,57,70,73,97,75,,
ROCE %,18,20,21,18,19,20,20,20,16,11,,
