Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,120,139,145,142,154,176,170,173,193,210,203,201
Expenses,99,113,118,120,122,126,123,130,130,131,132,138
Operating Profit,21,25,27,22,33,50,46,44,64,78,72,63
OPM %,18,18,19,16,21,28,27,25,33,37,35,31
Other Income,-2,-32,17,15,18,17,20,25,29,12,18,26
Interest,2,2,3,3,3,3,3,3,3,3,3,3
Depreciation,9,10,10,10,11,11,10,9,9,9,11,11
Profit before tax,8,-19,31,24,37,53,53,57,80,78,75,75
Tax %,34,26,20,7,17,15,14,17,20,21,6,24
Net Profit,5,-24,25,23,31,46,46,47,64,62,71,57
EPS in Rs,0.64,-5.17,4.8,4.72,5.89,9.01,8.82,9.03,12.53,11.68,13.49,10.67
Item,Mar 2017,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,78,243,298,250,313,364,490,641,779,807,,
Expenses,131,213,258,210,446,330,410,490,522,531,,
Operating Profit,-53,30,40,40,-133,34,80,152,258,276,,
OPM %,-68,12,14,16,-43,9,16,24,33,34,,
Other Income,20,24,20,32,46,64,3,70,84,84,,
Interest,0,3,4,5,7,9,10,12,13,13,,
Depreciation,3,15,17,20,25,29,37,41,39,40,,
Profit before tax,-37,35,39,47,-119,61,36,168,290,307,,
Tax %,0,27,20,-120,2,33,44,14,16,—,,
Net Profit,-37,26,31,103,-121,40,20,145,244,253,,
EPS in Rs,-107.09,48.39,63.43,258.07,-28.33,7.26,3.05,28.38,46.58,48.37,,
Dividend Payout %,0,0,0,0,0,0,0,0,0,—,,
Item,Mar 2016,Mar 2017,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,3,3,3,3,4,47,47,47,47,48,,
Reserves,948,1185,1193,1224,1638,1933,1997,2023,2173,2436,,
Borrowings,31,35,68,77,93,77,86,112,131,140,,
Other Liabilities,39,28,159,163,189,220,210,326,353,385,,
Total Liabilities,1021,1252,1424,1467,1924,2276,2340,2508,2705,3009,,
Fixed Assets,792,789,1010,1016,1022,1041,1042,1489,1497,1522,,
CWIP,0,0,0,0,0,0,0,0,0,1,,
Investments,165,405,287,295,645,884,985,510,614,910,,
Other Assets,65,58,127,157,255,351,312,509,594,576,,
Total Assets,1021,1252,1424,1467,1924,2276,2340,2508,2705,3009,,
Item,Mar 2016,Mar 2017,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,—,-50,35,17,35,63,48,16,171,257,,
Cash from Investing Activity,—,-222,-20,-8,-341,-281,-17,13,-138,-231,,
Cash from Financing Activity,—,269,-5,-11,308,229,-39,-33,-27,-23,,
Net Cash Flow,—,-3,9,-2,2,12,-7,-4,7,3,,
Free Cash Flow,—,-50,33,12,30,57,41,13,166,231,,
CFO/OP,—,99,174,65,114,-58,149,37,113,109,,
Item,Mar 2016,Mar 2017,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,197,99,54,57,69,48,52,55,49,44,,
Inventory Days,—,—,—,0,—,—,—,—,—,—,,
Days Payable,—,—,—,417,—,—,—,—,—,—,,
Cash Conversion Cycle,197,99,54,-359,69,48,52,55,49,44,,
Working Capital Days,148,108,-25,35,35,-19,-10,-24,1,15,,
ROCE %,—,-5,—,2,3,-6,3,4,8,12,,
