Item,Indicator,Value,Signal
,SMA (10),1266.71,Sell
,EMA (10),1268.16,Sell
,SMA (20),1273.83,Sell
,EMA (20),1278.71,Sell
,SMA (50),1369.71,Sell
,EMA (50),1280.96,Sell
,SMA (100),1196.91,Buy
,EMA (100),1185.19,Buy
,SMA (200),932.65,Buy
,EMA (200),1028.95,Buy
,Indicator,Value,Signal
,---,---,---
,RSI (14),42.89,Neutral
,"MACD (12,26,9)",-16.13,Buy
,"Stochastic (14,3,3)",32.86,Neutral
,ADX (14),21.27,Neutral
,Williams %R (14),-74.4,Neutral
,ATR (14),49.98,High Volatility
,ROC (12),-3.33,Sell
,Stoch RSI (14),27.86,Neutral
,"UO (7,14,28)",52.21,Neutral
