Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,4352,3244,3387,4863,4700,3561,3877,5202,5267,4005,4096,5485
Expenses,3706,2898,2977,4492,3804,2951,3065,4338,4206,3226,3353,4590
Operating Profit,646,346,410,371,896,610,812,864,1061,779,743,895
OPM %,15,11,12,8,19,17,21,17,20,19,18,16
Other Income,423,617,645,744,189,396,293,311,156,257,531,254
Interest,305,296,325,322,328,339,335,363,337,343,317,312
Depreciation,303,303,311,301,295,305,304,304,311,308,304,291
Profit before tax,461,364,419,492,462,362,466,508,569,385,653,546
Tax %,21,17,1,21,19,22,17,20,21,21,30,23
Net Profit,363,301,415,388,373,282,385,404,448,304,459,419
EPS in Rs,2.63,2.12,3.02,2.85,2.66,2,2.81,2.92,3.23,2.15,3.31,3.03
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,10275,10664,12159,11632,12544,14246,15293,17001,18570,18853,,
Expenses,7235,7738,8902,8338,9509,11972,13017,14152,14947,15375,,
Operating Profit,3040,2926,3257,3293,3035,2274,2276,2849,3624,3478,,
OPM %,30,27,27,28,24,16,15,17,20,18,,
Other Income,454,1163,842,665,1013,1584,2000,1619,1255,1198,,
Interest,1411,1432,1484,1340,1248,1241,1377,1479,1532,1309,,
Depreciation,751,764,848,867,885,878,1217,1205,1228,1214,,
Profit before tax,1331,1893,1768,1752,1915,1739,1683,1783,2119,2153,,
Tax %,27,37,26,22,27,20,14,20,24,—,,
Net Profit,975,1198,1309,1363,1404,1397,1447,1429,1618,1630,,
EPS in Rs,6.88,8.93,9.56,10.04,10.25,10.13,10.38,10.33,11.63,11.72,,
Dividend Payout %,18,20,21,45,44,45,44,44,52,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,133,133,133,133,133,133,133,133,133,133,,
Reserves,10489,8287,8841,9278,9740,10263,10777,11312,11877,12397,,
Borrowings,15599,14578,14479,13991,14277,14961,14263,14544,17978,21671,,
Other Liabilities,11248,9988,10017,12055,11712,12136,12539,11179,11022,12269,,
Total Liabilities,37470,32986,33470,35457,35862,37493,37712,37168,41010,46470,,
Fixed Assets,26626,23854,23649,24739,24197,23216,22826,22131,22847,22840,,
CWIP,392,217,161,168,134,102,140,175,403,2905,,
Investments,1110,1174,1185,180,308,460,77,57,59,154,,
Other Assets,9343,7742,8474,10371,11222,13716,14669,14806,17701,20570,,
Total Assets,37470,32986,33470,35457,35862,37493,37712,37168,41010,46470,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,2655,2469,2294,3408,2806,2499,1978,2351,2581,4057,,
Cash from Investing Activity,-1493,-1606,-686,-466,-1489,-575,-545,-564,-3012,-3235,,
Cash from Financing Activity,-760,-1485,-1737,-2219,-1739,-611,-2457,-1642,1337,1205,,
Net Cash Flow,402,-623,-130,723,-423,1313,-1024,146,906,2027,,
Free Cash Flow,1205,1587,1462,2495,2132,1729,1288,1586,729,148,,
CFO/OP,105,93,89,114,95,95,100,123,104,124,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,68,55,60,55,73,61,56,54,52,47,,
Cash Conversion Cycle,68,55,60,55,73,61,56,54,52,47,,
Working Capital Days,-123,-102,-109,-120,-66,-96,-89,-70,-91,-128,,
ROCE %,10,11,14,14,13,13,11,12,11,11,,
