Item,Indicator,Value,Signal
,SMA (10),267.27,Sell
,EMA (10),265.58,Buy
,SMA (20),251.65,Buy
,EMA (20),257.03,Buy
,SMA (50),244.8,Buy
,EMA (50),242.9,Buy
,SMA (100),222.64,Buy
,EMA (100),227.22,Buy
,SMA (200),199.42,Buy
,EMA (200),209.57,Buy
,Indicator,Value,Signal
,---,---,---
,RSI (14),59.09,Neutral
,"MACD (12,26,9)",10.24,Buy
,"Stochastic (14,3,3)",71.69,Neutral
,ADX (14),37.67,Buy
,Williams %R (14),-39.87,Neutral
,ATR (14),10.88,High Volatility
,ROC (12),3.76,Buy
,Stoch RSI (14),12.6,Buy
,"UO (7,14,28)",53.57,Neutral
