Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Revenue,4623,5007,5410,5812,6255,6733,7046,7267,7491,7898,8417,8856
Expenses,1391,1412,1417,1727,1897,2038,2010,2286,2460,2554,2597,2652
Financing Profit,1028,1155,1414,1289,1300,1420,1671,1512,1514,1698,2067,2197
Financing Margin %,22,23,26,22,21,21,24,21,20,22,25,25
Other Income,73,47,105,45,68,105,92,87,123,111,148,102
Interest,2204,2441,2579,2796,3059,3275,3365,3468,3517,3646,3753,4007
Depreciation,39,46,75,59,63,59,64,67,71,74,72,75
Profit before tax,1062,1156,1444,1275,1305,1466,1699,1532,1566,1736,2143,2224
Tax %,27,25,26,26,26,26,26,26,26,26,23,26
Net Profit,773,872,1065,947,968,1088,1260,1138,1160,1290,1645,1656
EPS in Rs,9.4,10.39,12.68,11.27,11.52,12.94,14.98,13.53,13.78,15.28,19.31,19.43
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Revenue,5559,7108,8712,9583,10148,12884,19163,25890,31120,32663,,
Expenses,1451,1632,2421,2858,2926,3621,5385,7670,9890,10264,,
Financing Profit,1451,1888,1699,2150,2924,3515,4548,5726,6845,7476,,
Financing Margin %,26,27,20,22,29,27,24,22,22,23,,
Other Income,0,1,0,0,84,220,255,261,412,484,,
Interest,2657,3588,4592,4576,4298,5748,9231,12495,14384,14923,,
Depreciation,51,57,111,102,101,121,198,245,284,292,,
Profit before tax,1401,1832,1588,2048,2908,3615,4605,5741,6973,7668,,
Tax %,34,35,34,26,26,26,26,26,25,—,,
Net Profit,918,1197,1054,1521,2154,2665,3420,4263,5233,5751,,
EPS in Rs,11.76,15.32,12.86,18.55,26.23,32.42,40.72,50.69,61.41,67.8,,
Dividend Payout %,11,8,13,11,8,6,5,4,3,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,156,156,156,164,164,164,164,168,168,170,,
Reserves,4142,4969,6052,8036,9436,11605,14182,19425,23500,30288,,
Borrowing,24071,38330,50567,55005,63730,69174,97358,134475,175036,211070,,
Other Liabilities,2230,711,715,853,1314,1536,1923,2618,3182,3920,,
Total Liabilities,30598,44167,57490,64058,74644,82478,113627,156686,201887,245448,,
Fixed Assets,150,170,167,283,228,259,403,1563,1780,1869,,
CWIP,0,4,14,11,10,37,60,13,11,42,,
Investments,182,23,42,33,1583,2055,3562,4036,6367,6646,,
Other Assets,30266,43970,57267,63732,72823,80127,109602,151075,193729,236892,,
Total Assets,30598,44167,57490,64058,74644,82478,113627,156686,201887,245448,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,-1468,-7926,-9317,-2075,-8842,-5571,-27105,-35683,-32413,-30021,,
Cash from Investing Activity,-222,-60,-11,-54,-1572,1640,-2148,-2855,-2948,-2554,,
Cash from Financing Activity,1692,8009,12191,2452,8516,5150,27466,38471,39795,35610,,
Net Cash Flow,2,22,2862,323,-1898,1218,-1787,-66,4434,3035,,
Free Cash Flow,-1525,-7994,-9391,-2145,-8873,-5665,-27293,-36754,-32600,-30263,,
CFO/OP,-29,-179,-157,-24,-121,-65,-283,-249,-169,-133,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
ROE %,18,20,21,15,17,20,20,20,20,19,,
