Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,2276,2323,2318,2357,3026,3258,3422,3704,3986,4232,4450,5528
Expenses,1935,1928,1929,2048,2603,2823,2895,3127,3253,3508,3574,4470
Operating Profit,341,395,390,309,423,435,527,577,732,723,876,1058
OPM %,15,17,17,13,14,13,15,16,18,17,20,19
Other Income,9,15,14,6,42,56,33,64,38,-127,-32,-28
Interest,32,35,37,32,30,32,40,46,41,42,40,87
Depreciation,77,81,79,72,114,116,125,159,172,171,180,241
Profit before tax,241,294,288,211,320,343,395,436,558,384,625,702
Tax %,22,18,20,34,27,25,22,18,24,23,-7,24
Net Profit,188,243,229,139,234,256,307,356,425,297,666,532
EPS in Rs,5.88,7.71,7.24,3.99,6.06,6.45,7.81,9.49,11.23,7.47,18.23,11.71
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,2991,3676,4184,4663,6432,8015,9009,12073,16403,18195,,
Expenses,2489,3026,3459,3882,5330,6733,7562,10380,13467,14805,,
Operating Profit,502,650,725,781,1102,1282,1447,1694,2936,3390,,
OPM %,17,18,17,17,17,16,16,14,18,19,,
Other Income,38,46,59,13,52,8,32,137,-83,-148,,
Interest,9,9,16,14,65,81,126,135,169,209,,
Depreciation,127,125,173,184,227,258,297,428,682,764,,
Profit before tax,404,562,595,596,862,951,1056,1269,2003,2270,,
Tax %,24,25,21,22,17,22,21,26,13,—,,
Net Profit,309,422,468,466,715,745,836,936,1745,1920,,
EPS in Rs,9.12,13.06,14.21,15.04,21.73,22.72,26.14,24.29,46.33,48.64,,
Dividend Payout %,33,0,44,17,48,56,58,16,34,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,61,62,62,62,61,61,61,62,67,67,,
Reserves,1625,1712,2010,2334,2406,2672,3021,3565,6312,9470,,
Borrowings,25,22,14,35,83,490,562,726,1070,728,,
Other Liabilities,695,828,748,968,935,1655,1980,1708,4823,4581,,
Total Liabilities,2407,2624,2834,3400,3484,4878,5625,6061,12272,14846,,
Fixed Assets,848,879,819,1079,1021,2067,2312,2353,6096,6760,,
CWIP,0,1,1,0,0,17,5,23,2,3,,
Investments,316,365,365,14,12,0,0,0,146,0,,
Other Assets,1244,1379,1649,2307,2451,2794,3309,3685,6028,8083,,
Total Assets,2407,2624,2834,3400,3484,4878,5625,6061,12272,14846,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,472,382,453,297,762,766,950,903,1237,1792,,
Cash from Investing Activity,-343,-248,-237,136,-86,-963,-269,-265,-2438,-400,,
Cash from Financing Activity,-67,-74,-106,-133,-696,-156,-558,-887,1675,-1094,,
Net Cash Flow,62,60,109,300,-20,-353,123,-249,474,298,,
Free Cash Flow,387,294,385,227,687,618,797,644,680,1197,,
CFO/OP,120,98,88,66,119,93,96,88,96,76,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,61,71,58,75,84,79,73,73,78,88,,
Cash Conversion Cycle,61,71,58,75,84,79,73,73,78,88,,
Working Capital Days,38,30,37,38,33,33,13,30,18,25,,
ROCE %,23,23,30,27,25,32,31,29,20,24,,
