Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,262,241,319,216,310,244,430,204,247,278,326,261
Expenses,143,135,185,135,174,146,239,143,157,176,204,173
Operating Profit,119,106,134,81,137,98,190,61,91,102,122,87
OPM %,45,44,42,38,44,40,44,30,37,37,38,33
Other Income,8,8,11,10,10,15,9,14,13,7,16,13
Interest,1,0,0,0,0,0,0,0,0,0,0,0
Depreciation,13,14,14,13,13,13,15,18,18,19,19,18
Profit before tax,113,100,131,78,133,99,185,57,86,90,118,82
Tax %,25,26,26,25,26,25,23,26,26,25,24,26
Net Profit,84,75,97,58,99,74,142,43,63,68,90,61
EPS in Rs,8.08,7.13,9.29,5.57,9.43,7.08,13.57,4.07,6.01,6.48,8.6,5.85
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,340,436,512,617,713,853,1017,1200,1055,1112,,
Expenses,212,256,308,289,439,509,585,693,678,709,,
Operating Profit,127,180,205,328,274,344,432,507,377,402,,
OPM %,37,41,40,53,38,40,42,42,36,36,,
Other Income,36,17,31,14,23,35,34,44,49,49,,
Interest,1,1,1,1,6,5,3,1,1,0,,
Depreciation,18,19,21,28,50,54,54,54,74,75,,
Profit before tax,144,178,213,313,241,320,409,496,351,376,,
Tax %,30,33,21,25,26,26,26,25,25,—,,
Net Profit,100,118,169,235,179,238,305,373,263,282,,
EPS in Rs,105.66,124.48,177.65,247.44,187.76,22.76,29.13,35.65,25.17,26.94,,
Dividend Payout %,0,21,22,0,3,30,30,25,30,—,,
Item,Mar 2016,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,9,10,10,10,10,10,10,10,10,10,,
Reserves,329,585,673,761,990,1098,1282,1515,1802,2009,,
Borrowings,36,22,9,52,89,62,32,10,3,1,,
Other Liabilities,74,69,71,118,94,144,191,164,219,216,,
Total Liabilities,448,685,763,941,1183,1313,1515,1699,2034,2237,,
Fixed Assets,110,189,230,240,546,573,593,575,795,786,,
CWIP,70,3,19,141,18,74,173,211,51,79,,
Investments,43,151,229,199,142,74,138,244,335,488,,
Other Assets,225,343,285,361,477,592,611,668,854,883,,
Total Assets,448,685,763,941,1183,1313,1515,1699,2034,2237,,
Item,Mar 2016,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,—,79,—,155,167,207,246,265,245,264,,
Cash from Investing Activity,—,-42,—,-114,-195,-112,-158,-155,-160,-142,,
Cash from Financing Activity,—,-37,—,-43,31,-100,-85,-99,-99,-115,,
Net Cash Flow,—,0,—,-1,3,-4,3,12,-14,7,,
Free Cash Flow,—,79,—,-1,-37,52,101,180,134,169,,
CFO/OP,—,101,—,100,74,98,92,85,70,96,,
Item,Mar 2016,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,182,236,133,131,105,119,117,125,159,159,,
Inventory Days,321,381,310,312,503,434,430,331,286,483,,
Days Payable,129,210,112,201,152,185,190,150,135,150,,
Cash Conversion Cycle,374,407,331,242,456,368,357,306,310,492,,
Working Capital Days,209,275,177,159,177,163,153,166,193,231,,
ROCE %,37,—,25,25,32,21,26,28,28,17,,
