Item,Indicator,Value,Signal
,SMA (10),1457.67,Buy
,EMA (10),1470.59,Buy
,SMA (20),1499.28,Buy
,EMA (20),1466.86,Buy
,SMA (50),1406.7,Buy
,EMA (50),1414.54,Buy
,SMA (100),1304.03,Buy
,EMA (100),1352.13,Buy
,SMA (200),1266.78,Buy
,EMA (200),1354.42,Buy
,Indicator,Value,Signal
,---,---,---
,RSI (14),57.65,Neutral
,"MACD (12,26,9)",12.47,Sell
,"Stochastic (14,3,3)",37.41,Neutral
,ADX (14),18.66,Neutral
,Williams %R (14),-42.69,Neutral
,ATR (14),51.85,High Volatility
,ROC (12),-2.37,Sell
,Stoch RSI (14),54.97,Neutral
,"UO (7,14,28)",51.68,Neutral
