Item,Date,Document
,2026-09-09,[Announcement Under Regulation 30 (LODR) - Update](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=2e34fc8c-71dd-492d-b791-23c01228f1ee.pdf)
,2026-09-09,[Announcement Under Regulations 30 (LODR) - Update](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=860b0739-dc29-4fd2-971f-1c8311d1c5eb.pdf)
,2026-08-21,[Announcement under Regulation 30 (LODR)-Newspaper Publication](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=e3d342dd-07cd-45b9-a3d2-573355db6d42.pdf)
,2026-08-20,[Shareholder Meeting / Postal Ballot-Notice of Postal Ballot](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=65bf78f1-3788-49fb-9a63-ed475760d21b.pdf)
,2026-08-19,[Board Meeting Outcome for Disclosure Under Regulation 30 Of The SEBI (Listing Obligations And Disclosure Requirements) Regulations 2015 Pertaining To Outcome Of Board Meeting](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=4fcef750-d220-4ee2-8a4d-c93f8ee88a06.pdf)
,2026-08-19,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=50f1a4ea-22f2-4d26-bec6-d180a4da1d18.pdf)
,2026-08-14,[Board Meeting Intimation for A Meeting Of The Board Of Directors Of The Company Is Scheduled To Be Held On August 19 2026 Inter Alia To Consider And Approve The Proposal For Fund Raising By The Company.](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=95a876ba-faf7-4c6f-8290-7f083456b263.pdf)
,2026-08-13,[Announcement under Regulation 30 (LODR)-Newspaper Publication](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=586c53c0-4e57-4d3c-985b-ba3ce66cc9ea.pdf)
,2026-08-12,[Board Meeting Outcome for Disclosure Under Regulation 30 And Regulation 33 Of The SEBI (Listing Obligations And Disclosure Requirements) Regulations 2015 Pertaining To Outcome Of Board Meeting](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=575f562c-c615-4ad0-9aef-72f736192a78.pdf)
,2026-08-12,[Announcement Under Regulation 30 (LODR) - Earnings Release](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=a84d6de6-09d9-4ef1-9d0f-05b5055db802.pdf)
,Date,Document
,---,---
,2026-08-18,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=e07f6b18-87cd-442e-a8e8-8e1c4c318dd4.pdf)
,2026-06-03,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=8e63fd5d-ff64-43fd-ab64-85f16a4d963a.pdf)
,2026-02-17,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=c5a40d0f-53d8-4774-a42a-07d57187b0c8.pdf)
,2025-11-19,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=bfc3ed01-7ea5-476c-8246-c0a4ca2c9571.pdf)
,2025-08-25,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=049b1218-7309-450a-8095-d9d690a06306.pdf)
,Date,Document
,---,---
,2026-08-13,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=7d2e5c05-e5c6-4ab5-b37d-31e7478bcbdb.pdf)
,2026-05-28,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=e67369ea-23b7-4eac-9b9d-c280d22e96e5.pdf)
,2026-02-13,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=dcc05a37-a471-46c7-ad45-956a73637bee.pdf)
,2025-11-13,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=37a81663-2c06-4fe8-9a6e-601ecebec917.pdf)
,2025-08-20,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=7b219261-ac25-410b-9d1d-fc5951d84bdc.pdf)
,Date,Document
,---,---
,2026-08-12,[Financial Results For The Quarter Ended June 30 2026](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=9dee672d-4ef6-41c2-8f84-47226f8eb5a2.pdf)
,2026-05-27,[Financial Results For The Quarter And Financial Year Ended March 31 2026](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=2ef0b5f6-f77d-4aaa-8177-346580093970.pdf)
,2026-02-12,[Financial Result For Quarter And Nine Months Ended December 31 2025](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=3645ea03-d2a9-4ae0-b364-88ffe764e11b.pdf)
,2025-11-12,[Results - Financial Results For The Quarter And Half Year Ended September 30 2025](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=bb4ff592-af8d-433a-bec9-931e0f9cd467.pdf)
,2025-08-19,[Results - Financial Results For Quarter Ended June 30 2025](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=128d3dc8-6dd8-4bfb-8840-cda89bb4e7c0.pdf)
,Date,Document
,---,---
,2026-08-12,[Announcement under Regulation 30 (LODR)-Investor Presentation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=24dd017f-8e5f-4ab0-ac82-21076017c9ea.pdf)
,2026-05-27,[Announcement under Regulation 30 (LODR)-Investor Presentation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=6f4f027c-6161-4694-9be7-cc740d5d5151.pdf)
,2026-02-12,[Announcement Under Regulation 30 - Earnings Release For The Quarter And Nine Months Ended December 31 2025.](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=f950406f-9a0e-42b0-a334-fbc3b9db63cc.pdf)
,2025-11-12,[Announcement under Regulation 30 (LODR)-Investor Presentation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=b0a4b2b2-f05e-43b2-901e-2178f5abf7dc.pdf)
,2025-08-20,[Announcement under Regulation 30 (LODR)-Investor Presentation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=0fec4c0d-ce4d-474c-9876-d7325878a50e.pdf)
,Date,Document
,---,---
,Nov 2025,[Concall - Nov 2025](https://www.bseindia.com/xml-data/corpfiling/AttachHis/bfc3ed01-7ea5-476c-8246-c0a4ca2c9571.pdf)
,May 2026,[Concall - May 2026](https://www.bseindia.com/xml-data/corpfiling/AttachHis/6f4f027c-6161-4694-9be7-cc740d5d5151.pdf)
,May 2026,[Concall - May 2026](https://www.bseindia.com/xml-data/corpfiling/AttachLive/6f4f027c-6161-4694-9be7-cc740d5d5151.pdf)
,May 2025,[Concall - May 2025](https://www.bseindia.com/xml-data/corpfiling/AttachHis/76003485-41da-4f86-836c-57e6df17d34d.pdf)
,Jun 2026,[Concall - Jun 2026](https://www.bseindia.com/xml-data/corpfiling/AttachLive/8e63fd5d-ff64-43fd-ab64-85f16a4d963a.pdf)
,Feb 2026,[Concall - Feb 2026](https://www.bseindia.com/xml-data/corpfiling/AttachHis/c5a40d0f-53d8-4774-a42a-07d57187b0c8.pdf)
,Aug 2025,[Concall - Aug 2025](https://www.bseindia.com/xml-data/corpfiling/AttachHis/049b1218-7309-450a-8095-d9d690a06306.pdf)
,Aug 2024,[Concall - Aug 2024](https://www.bseindia.com/xml-data/corpfiling/AttachHis/bfd9b4c9-db0a-4015-af46-6a9f09cbec8e.pdf)
,Date,Document
,---,---
,"9h - Mar 30 scrutinizer: shareholders approved ESOP-2024, AoA amendment, and revised remuneration for three directors.","[Shareholder Meeting / Postal Ballot-Scrutinizer""s Report 9h - Mar 30 scrutinizer: shareholders approved ESOP-2024, AoA amendment, and revised remuneration for three directors.](https://www.bseindia.com/xml-data/corpfiling/AttachLive/e993867c-057b-4073-a98d-d13318050218.pdf)"
,"9 Feb - Board approved registered office shift in Ahmedabad effective Feb 9, 2026 to A-12 Times Corporate Park.","[Announcement under Regulation 30 (LODR)-Change in Registered Office Address 9 Feb - Board approved registered office shift in Ahmedabad effective Feb 9, 2026 to A-12 Times Corporate Park.](https://www.bseindia.com/xml-data/corpfiling/AttachHis/97d367cd-e219-4642-b8c9-8de9878c14e2.pdf)"
