Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Revenue,1247,1292,1457,1512,1453,1380,1407,1463,1508,1490,1597,1783
Expenses,342,365,434,453,700,1020,864,885,845,678,660,558
Financing Profit,481,486,542,549,269,-115,65,96,184,353,459,675
Financing Margin %,39,38,37,36,18,-8,5,7,12,24,29,38
Other Income,1,3,2,1,1,2,1,1,1,1,1,1
Interest,424,442,482,510,485,475,478,482,480,459,478,550
Depreciation,12,13,14,14,17,16,15,15,16,16,16,16
Profit before tax,469,476,529,535,252,-129,51,81,169,338,445,660
Tax %,26,26,25,26,26,-23,8,26,26,25,24,25
Net Profit,349,353,397,398,186,-100,47,60,126,252,340,493
EPS in Rs,21.95,22.2,24.91,24.95,11.67,-6.24,2.96,3.77,7.87,15.75,21.2,30.79
Gross NPA %,0.77,0.97,1.18,1.46,2.44,3.99,4.76,4.7,3.65,4.04,3.17,2.18
Net NPA %,0.24,0.29,0.35,0.45,0.76,1.28,1.73,1.78,1.26,1.36,1.12,0.76
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Revenue,871,1282,1683,2028,2669,3487,5167,5752,6059,6380,,
Expenses,184,361,639,1069,1235,1179,1444,3030,3061,2740,,
Financing Profit,332,504,470,214,447,1092,1984,767,1093,1672,,
Financing Margin %,38,39,28,11,17,31,38,13,18,26,,
Other Income,1,1,1,3,81,64,6,4,4,4,,
Interest,354,417,575,745,987,1216,1738,1955,1905,1967,,
Depreciation,5,8,20,23,47,50,51,62,63,64,,
Profit before tax,328,498,451,194,481,1105,1939,709,1033,1612,,
Tax %,35,35,27,27,27,25,25,25,25,—,,
Net Profit,212,322,328,142,353,826,1446,531,778,1211,,
EPS in Rs,16.54,22.41,22.75,9.15,22.65,52.87,90.72,33.27,48.54,75.61,,
Dividend Payout %,0,0,0,0,0,0,11,0,0,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,86,128,144,144,156,156,159,159,160,160,,
Reserves,605,1309,2222,2525,3479,4011,4948,6411,6796,7682,,
Borrowing,2668,3623,4867,7823,8781,12921,16312,21841,20446,23641,,
Other Liabilities,205,53,126,170,281,394,439,460,401,446,,
Total Liabilities,3564,5114,7357,10662,12697,17482,21858,28871,27802,31930,,
Fixed Assets,12,16,25,87,101,629,599,609,604,588,,
CWIP,3,1,2,3,1,3,4,5,4,0,,
Investments,0,0,0,661,663,1,455,1439,893,1075,,
Other Assets,3549,5096,7330,9911,11932,16849,20801,26818,26302,30267,,
Total Assets,3564,5114,7357,10662,12697,17482,21858,28871,27802,31930,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,-425,-1726,-1378,-2302,-364,-1969,-3290,-4734,1125,-2770,,
Cash from Investing Activity,-5,54,-7,-636,-32,-189,-314,-994,708,-101,,
Cash from Financing Activity,579,1470,1829,2929,1706,1684,3365,5494,-1669,2751,,
Net Cash Flow,149,-202,444,-9,1310,-473,-239,-234,164,-120,,
Free Cash Flow,-433,-1731,-1396,-2323,-376,-1992,-3307,-4754,1092,-2788,,
CFO/OP,-79,-241,-130,-205,-27,-129,-132,-112,54,-86,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
ROE %,14,20,17,13,5,9,18,25,8,11,,
