Item,Date,Document
,2026-09-08,[Announcement under Regulation 30 (LODR)-Newspaper Publication](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=06d65f1c-f3a0-4375-b5a4-12314ba322d3.pdf)
,2026-09-07,"[Shareholder Meeting / Postal Ballot-Scrutinizer""s Report](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=e2e2b6c4-d605-44ab-a286-2a926afd39e3.pdf)"
,2026-09-07,[Shareholder Meeting / Postal Ballot-Outcome of Postal_Ballot](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=bed8a042-ee6d-47b1-ae92-e7802c43ee38.pdf)
,2026-08-26,[Announcement under Regulation 30 (LODR)-Newspaper Publication](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=4c892ce4-946e-48dc-b5d8-d811fb2ebfa7.pdf)
,2026-08-12,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=066228ad-8153-4236-8795-9ed3b7ab337f.pdf)
,2026-08-10,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=f98a9b43-7d22-4249-a9cf-3968261bc964.pdf)
,2026-08-06,[Announcement under Regulation 30 (LODR)-Newspaper Publication](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=afe8854c-bdce-4c79-bef6-d6dd4114f91f.pdf)
,2026-08-05,[Shareholder Meeting / Postal Ballot-Notice of Postal Ballot](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=f111369d-25f4-4a44-896e-9b58d31763e2.pdf)
,2026-08-05,[Update On Amalgamation Of Crisil Canada Inc. And Crisil Pricemetrix Inc.](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=83a99839-ac38-4a7b-af4d-14e7806fc6c3.pdf)
,2026-07-23,[Announcement under Regulation 30 (LODR)-Newspaper Publication](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=cef01f51-298c-447e-9b17-41f7cab9d94c.pdf)
,Date,Document
,---,---
