Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,736,918,738,797,812,913,813,843,911,1082,1058,1075
Expenses,544,649,546,591,588,626,581,604,648,742,739,768
Operating Profit,192,269,192,207,224,287,232,239,263,340,319,308
OPM %,26,29,26,26,28,31,29,28,29,31,30,29
Other Income,36,36,21,18,21,30,31,24,37,27,36,21
Interest,1,1,1,1,1,2,6,6,6,5,7,7
Depreciation,26,25,17,16,16,21,30,32,32,35,39,42
Profit before tax,200,279,195,208,229,294,227,225,262,327,308,280
Tax %,24,25,30,28,25,24,30,24,26,26,24,23
Net Profit,152,210,138,150,172,225,160,172,193,242,233,216
EPS in Rs,20.79,28.74,18.84,20.53,23.46,30.72,21.86,23.46,26.41,33.02,31.9,29.6
Item,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,Dec 2022,Dec 2023,Dec 2024,Dec 2025,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,1658,1748,1732,1982,2301,2769,3140,3260,3649,4126,,
Expenses,1203,1277,1276,1471,1690,2039,2258,2349,2564,2897,,
Operating Profit,455,471,456,511,611,730,882,911,1085,1229,,
OPM %,27,27,26,26,27,26,28,28,30,30,,
Other Income,25,73,73,83,123,122,94,90,107,121,,
Interest,0,2,0,14,9,6,4,4,22,25,,
Depreciation,47,43,37,121,106,103,104,70,129,149,,
Profit before tax,434,500,492,458,618,742,868,926,1041,1177,,
Tax %,30,27,30,23,25,24,24,26,26,—,,
Net Profit,304,363,344,355,466,564,658,684,766,884,,
EPS in Rs,42.46,50.35,47.57,48.87,63.92,77.25,90.06,93.54,104.75,120.93,,
Dividend Payout %,66,60,67,68,72,62,60,60,57,—,,
Item,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,Dec 2022,Dec 2023,Dec 2024,Dec 2025,Jun 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,7,7,7,7,7,7,7,7,7,7,,
Reserves,1041,1129,1165,1305,1571,1785,2182,2558,3026,3264,,
Borrowings,0,3,3,0,132,83,47,250,297,335,,
Other Liabilities,446,495,514,895,793,956,1061,1127,1252,1418,,
Total Liabilities,1495,1634,1689,2207,2504,2831,3297,3942,4582,5024,,
Fixed Assets,293,350,349,763,661,619,635,976,1440,1515,,
CWIP,13,7,12,14,5,14,31,55,30,0,,
Investments,525,477,453,476,645,683,1056,1454,1180,1000,,
Other Assets,663,800,875,955,1193,1515,1576,1457,1932,2508,,
Total Assets,1495,1634,1689,2207,2504,2831,3297,3942,4582,5024,,
Item,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,Dec 2022,Dec 2023,Dec 2024,Dec 2025,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,279,291,379,446,500,403,456,780,765,756,,
Cash from Investing Activity,-19,-179,-64,-77,-300,-97,-59,-326,-387,-267,,
Cash from Financing Activity,-227,-187,-203,-229,-265,-291,-368,-408,-442,-470,,
Net Cash Flow,33,-75,111,140,-64,15,29,47,-64,18,,
Free Cash Flow,256,258,347,418,466,430,417,721,594,688,,
CFO/OP,98,101,116,130,122,98,93,116,118,96,,
Item,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,Dec 2022,Dec 2023,Dec 2024,Dec 2025,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,49,57,59,42,57,86,100,78,62,69,,
Cash Conversion Cycle,49,57,59,42,57,86,100,78,62,69,,
Working Capital Days,-7,2,-9,-27,-35,-18,0,-7,-31,5,,
ROCE %,45,41,45,42,37,38,41,41,34,33,,
