Item,Indicator,Value,Signal
,SMA (10),4756.6,Sell
,EMA (10),4714.62,Sell
,SMA (20),4644.84,Buy
,EMA (20),4658.55,Buy
,SMA (50),4451.65,Buy
,EMA (50),4498.06,Buy
,SMA (100),4268.4,Buy
,EMA (100),4389.67,Buy
,SMA (200),4325.77,Buy
,EMA (200),4422.44,Buy
,Indicator,Value,Signal
,---,---,---
,RSI (14),56.31,Neutral
,"MACD (12,26,9)",83.58,Sell
,"Stochastic (14,3,3)",61.24,Neutral
,ADX (14),29.08,Buy
,Williams %R (14),-40.02,Neutral
,ATR (14),113.14,Neutral
,ROC (12),4.09,Buy
,Stoch RSI (14),9.15,Buy
,"UO (7,14,28)",54.06,Neutral
