Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Revenue,1304,1326,1374,1389,1434,1479,1533,1605,1653,1756,1856,1985
Expenses,390,391,402,403,451,455,489,488,512,580,617,561
Financing Profit,149,125,145,142,132,133,112,137,154,172,169,259
Financing Margin %,11,9,11,10,9,9,7,9,9,10,9,13
Other Income,182,193,175,192,226,228,251,244,259,245,290,244
Interest,766,810,828,843,851,891,932,980,987,1004,1070,1165
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,331,318,320,334,358,361,363,381,414,417,460,503
Tax %,15,20,20,21,20,21,21,20,21,20,22,24
Net Profit,281,253,255,264,285,286,288,306,329,332,360,383
EPS in Rs,2.84,2.56,2.58,2.68,2.89,2.89,2.91,3.1,3.33,3.36,3.63,3.86
Gross NPA %,4.66,4.47,3.99,3.88,3.54,3.36,3.09,2.99,2.42,2.17,1.91,1.73
Net NPA %,2.34,2.19,1.97,1.87,1.62,1.42,1.25,1.2,0.9,0.78,0.68,0.61
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Revenue,3402,3767,4169,4135,4105,4714,5271,5834,6870,7249,,
Expenses,1120,1140,1690,1738,1605,1723,1559,1716,2090,2270,,
Financing Profit,310,472,-15,92,311,440,564,600,740,754,,
Financing Margin %,9,13,0,2,8,9,11,10,11,10,,
Other Income,532,514,680,689,759,810,742,898,1039,1039,,
Interest,1972,2156,2493,2305,2188,2552,3147,3518,4040,4225,,
Depreciation,52,62,79,87,85,73,75,82,107,0,,
Profit before tax,790,925,586,693,985,1177,1231,1417,1671,1793,,
Tax %,25,26,19,14,23,20,17,21,21,—,,
Net Profit,592,683,476,593,760,937,1016,1124,1326,1403,,
EPS in Rs,6.07,6.97,4.85,6.02,7.71,9.5,10.28,11.37,13.39,14.18,,
Dividend Payout %,3,5,8,6,10,8,11,13,11,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,60,66,73,74,74,74,74,74,74,74,,
Reserves,3510,4097,4767,5222,5769,6512,7383,8327,9393,10491,,
Borrowing,531,1736,481,2032,1346,5312,4688,4724,2169,5327,,
Deposits,30116,32853,38448,40832,44537,47690,52398,55657,63526,78308,,
Other Liabilities,1054,1186,1489,1573,1586,1944,2051,2044,2461,2825,,
Total Liabilities,35271,39937,45259,49734,53312,61531,66595,70826,77623,97024,,
Fixed Assets,215,223,250,245,233,215,239,270,322,469,,
CWIP,0,0,0,0,0,0,0,0,0,0,,
Investments,7031,7879,7712,9117,9436,12221,14333,15664,17336,18987,,
Other Assets,28024,31835,37297,40372,43643,49095,52023,54891,59965,77569,,
Total Assets,35271,39937,45259,49734,53312,61531,66595,70826,77623,97024,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,284,-183,419,1836,922,1166,724,436,1128,802,,
Cash from Investing Activity,-50,-61,-87,-60,-38,-63,-72,-106,-120,-208,,
Cash from Financing Activity,-4,1,-5,-18,10,-31,-690,-36,-2662,3042,,
Net Cash Flow,229,-243,327,1758,893,1072,-38,294,-1653,3637,,
Free Cash Flow,233,-244,332,1777,884,1103,652,330,1009,595,,
CFO/OP,17,-3,23,73,41,47,31,16,32,22,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
ROE %,15,15,15,9,11,12,13,13,13,13,,
