Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,3153,3604,4307,3621,3087,3181,4091,3636,3417,3506,4245,3890
Expenses,2560,2825,3653,2952,2653,2670,3298,2753,2721,2904,3343,3085
Operating Profit,593,779,654,669,434,511,793,883,696,602,902,805
OPM %,19,22,15,18,14,16,19,24,20,17,21,21
Other Income,80,60,120,-63,73,37,93,65,66,30,34,-43
Interest,101,108,94,95,98,101,105,108,122,118,132,147
Depreciation,401,370,328,317,336,364,314,322,322,340,365,361
Profit before tax,171,361,352,194,73,83,467,518,318,174,439,254
Tax %,28,26,9,25,33,20,6,24,25,26,10,24
Net Profit,123,266,320,145,49,66,439,395,239,128,394,192
EPS in Rs,6.29,14.02,16.8,7.52,2.45,3.25,23.19,20.95,12.58,6.5,20.63,10.02
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,8579,9484,9674,10110,11286,13552,14691,13980,14804,15058,,
Expenses,6543,7542,7591,7340,8860,11224,12052,11573,11721,12053,,
Operating Profit,2036,1942,2083,2770,2426,2328,2639,2407,3083,3005,,
OPM %,24,20,22,27,22,17,18,17,21,20,,
Other Income,274,235,217,145,171,532,314,140,195,87,,
Interest,708,542,415,303,202,234,386,399,480,519,,
Depreciation,1213,1296,1528,1250,1235,1305,1498,1331,1349,1388,,
Profit before tax,389,339,357,1362,1160,1321,1069,817,1449,1185,,
Tax %,25,-3,33,13,27,18,20,14,20,—,,
Net Profit,291,349,238,1183,845,1079,853,699,1157,953,,
EPS in Rs,58400,15.96,11.61,62.58,43.55,55.21,44.04,36.41,60.73,49.73,,
Dividend Payout %,1937,13,17,2,20,16,21,25,15,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,6654,6654,39,39,37,37,37,38,38,38,,
Reserves,2975,3681,10600,10522,12773,16024,15591,16359,17336,17941,,
Borrowings,8038,7266,5883,6049,3839,3176,3855,4805,5702,7406,,
Other Liabilities,3595,3763,4016,4268,5237,5431,6036,6510,7095,7874,,
Total Liabilities,21262,21364,20538,20878,21886,24668,25519,27712,30171,33259,,
Fixed Assets,15516,14037,13573,12555,13626,14147,14784,15732,17306,19371,,
CWIP,128,168,520,1740,1006,1034,1871,2395,2616,2726,,
Investments,2740,3505,2424,2816,4033,5704,3524,4462,5119,5878,,
Other Assets,2878,3654,4021,3767,3221,3783,5340,5123,5130,5284,,
Total Assets,21262,21364,20538,20878,21886,24668,25519,27712,30171,33259,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,1875,1606,1843,2340,3604,1932,2252,2635,2117,2278,,
Cash from Investing Activity,-139,135,189,-1760,-300,-1045,-2326,-2750,-2270,-3023,,
Cash from Financing Activity,-1749,-1564,-2067,-594,-3375,-942,168,222,-39,808,,
Net Cash Flow,-13,177,-35,-14,-71,-55,94,107,-192,63,,
Free Cash Flow,1483,1213,917,995,2577,176,-449,-88,-509,237,,
CFO/OP,100,83,96,116,129,79,97,102,91,77,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,26,24,21,25,18,22,19,21,23,21,,
Inventory Days,189,186,211,204,180,234,242,164,217,186,,
Days Payable,258,223,179,173,213,211,209,178,241,202,,
Cash Conversion Cycle,-43,-13,53,55,-14,45,52,8,-1,5,,
Working Capital Days,-89,-63,-60,-85,-83,-60,-33,-27,-39,-55,,
ROCE %,—,6,4,4,10,7,8,7,6,8,,
