Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,108,140,182,104,91,117,396,99,307,173,345,116
Expenses,68,79,89,67,57,63,247,67,239,93,152,85
Operating Profit,41,60,93,37,34,54,149,32,68,81,193,31
OPM %,38,43,51,36,38,46,38,32,22,47,56,27
Other Income,11,11,12,12,12,11,11,11,6,3,6,7
Interest,2,2,3,3,3,3,3,3,2,2,5,3
Depreciation,3,3,7,3,3,3,4,5,6,6,6,6
Profit before tax,46,66,95,43,40,59,153,34,66,75,188,29
Tax %,27,22,25,25,24,24,25,25,26,23,26,25
Net Profit,34,51,71,33,30,45,114,26,49,58,138,22
EPS in Rs,6.04,9.1,12.7,5.86,5.41,7.98,20.38,4.55,8.79,10.41,24.72,3.94
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,57,131,156,224,311,453,520,708,925,941,,
Expenses,48,106,113,132,170,282,298,433,551,568,,
Operating Profit,9,26,43,92,141,172,222,275,374,373,,
OPM %,16,19,28,41,45,38,43,39,40,40,,
Other Income,0,1,4,3,4,9,46,46,25,22,,
Interest,5,11,13,14,11,8,9,12,12,13,,
Depreciation,3,6,5,6,7,8,16,14,23,23,,
Profit before tax,1,10,28,75,127,165,242,295,364,359,,
Tax %,-23,26,26,25,26,25,25,25,25,—,,
Net Profit,1,8,21,56,94,124,182,222,271,268,,
EPS in Rs,7.35,45.3,123.84,326.86,18.11,22.15,32.45,39.62,48.47,47.86,,
Dividend Payout %,0,0,0,20,19,20,20,20,21,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,2,2,2,2,2,10,11,11,11,11,,
Reserves,103,104,131,152,206,564,1156,1313,1497,1725,,
Borrowings,35,32,60,61,37,9,2,4,6,5,,
Other Liabilities,13,17,84,81,84,123,265,364,325,188,,
Total Liabilities,152,154,277,295,329,707,1435,1692,1839,1929,,
Fixed Assets,24,23,36,33,33,47,112,150,247,260,,
CWIP,0,0,0,0,0,17,1,48,49,74,,
Investments,7,7,0,0,0,0,56,262,327,329,,
Other Assets,121,124,241,262,295,642,1266,1231,1216,1266,,
Total Assets,152,154,277,295,329,707,1435,1692,1839,1929,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,9,11,-4,13,55,50,-17,139,-90,80,,
Cash from Investing Activity,0,-2,0,1,-3,-118,-383,-224,89,-3,,
Cash from Financing Activity,-8,-8,2,-14,-45,236,438,-43,-50,-58,,
Net Cash Flow,0,0,-2,1,7,168,38,-127,-50,19,,
Free Cash Flow,8,8,-6,12,50,12,-57,52,-196,8,,
CFO/OP,100,129,-13,38,80,56,21,91,-7,45,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,400,418,287,270,254,233,308,280,307,287,,
Inventory Days,1350,1044,646,517,382,508,412,590,421,294,,
Days Payable,145,148,118,112,62,162,92,111,111,82,,
Cash Conversion Cycle,1606,1315,815,675,574,579,628,759,618,499,,
Working Capital Days,583,506,262,227,295,281,409,278,359,357,,
ROCE %,4,4,13,20,39,33,20,20,21,22,,
