Item,Indicator,Value,Signal
,SMA (10),1013.97,Sell
,EMA (10),1013.43,Sell
,SMA (20),1031.24,Sell
,EMA (20),1021.16,Sell
,SMA (50),1028.51,Sell
,EMA (50),1032.36,Sell
,SMA (100),1065.15,Sell
,EMA (100),1055.31,Sell
,SMA (200),1107.57,Sell
,EMA (200),1087.48,Sell
,Indicator,Value,Signal
,---,---,---
,RSI (14),40.19,Neutral
,"MACD (12,26,9)",-7.9,Sell
,"Stochastic (14,3,3)",9.13,Buy
,ADX (14),17.96,Neutral
,Williams %R (14),-84.67,Buy
,ATR (14),26.56,Neutral
,ROC (12),-4.77,Sell
,Stoch RSI (14),12.88,Buy
,"UO (7,14,28)",35.57,Neutral
