Item,Indicator,Value,Signal
,SMA (10),1686.94,Sell
,EMA (10),1670.03,Sell
,SMA (20),1723.02,Sell
,EMA (20),1696.95,Sell
,SMA (50),1702.53,Sell
,EMA (50),1699.6,Sell
,SMA (100),1705.01,Sell
,EMA (100),1682.88,Sell
,SMA (200),1631.44,Sell
,EMA (200),1693.24,Sell
,Indicator,Value,Signal
,---,---,---
,RSI (14),31.74,Neutral
,"MACD (12,26,9)",-23.25,Sell
,"Stochastic (14,3,3)",8.57,Buy
,ADX (14),21.14,Neutral
,Williams %R (14),-98.06,Buy
,ATR (14),51.38,High Volatility
,ROC (12),-10.63,Sell
,Stoch RSI (14),0,Buy
,"UO (7,14,28)",26.25,Buy
