Item,Indicator,Value,Signal
,SMA (10),9334.05,Sell
,EMA (10),9289.34,Buy
,SMA (20),9035.08,Buy
,EMA (20),9046.26,Buy
,SMA (50),8204.62,Buy
,EMA (50),8376.95,Buy
,SMA (100),7434.89,Buy
,EMA (100),7728.88,Buy
,SMA (200),6843.74,Buy
,EMA (200),7155.8,Buy
,Indicator,Value,Signal
,---,---,---
,RSI (14),63.65,Neutral
,"MACD (12,26,9)",349.25,Sell
,"Stochastic (14,3,3)",82.52,Sell
,ADX (14),66.21,Buy
,Williams %R (14),-26.21,Neutral
,ATR (14),199.21,Neutral
,ROC (12),3.29,Buy
,Stoch RSI (14),0,Buy
,"UO (7,14,28)",58.21,Neutral
