Item,Date,Document
,"9 Mar - MEITY approved HKC's 26% investment in DDTPL; JV to be held 74:26 (March 9, 2026).","[Announcement Under Regulation 30 Of SEBI LODR- Updates 9 Mar - MEITY approved HKC's 26% investment in DDTPL; JV to be held 74:26 (March 9, 2026).](https://www.bseindia.com/xml-data/corpfiling/AttachHis/3eeaa2e6-9c61-4e3b-94bc-c365f462a962.pdf)"
,9 Apr - Dixon Technologies held a one-on-one virtual investor meeting with Citadel on 8 April 2026.,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome 9 Apr - Dixon Technologies held a one-on-one virtual investor meeting with Citadel on 8 April 2026.](https://www.bseindia.com/xml-data/corpfiling/AttachHis/a23c9fbc-5d67-4f42-8584-63ba77132d5e.pdf)
,"8 May - Uttarakhand GST authority imposed ₹15,60,864 penalty on 8 May 2026; Dixon will appeal.","[Announcement Under Regulation 30 (LODR)- Imposition Of Fines And Penalties 8 May - Uttarakhand GST authority imposed ₹15,60,864 penalty on 8 May 2026; Dixon will appeal.](https://www.bseindia.com/xml-data/corpfiling/AttachLive/019b685f-a70c-497e-be70-0fc7e26842c2.pdf)"
,7 Apr - Dixon Technologies held one-on-one meeting with Opportune Wealth on 6 April 2026.,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome 7 Apr - Dixon Technologies held one-on-one meeting with Opportune Wealth on 6 April 2026.](https://www.bseindia.com/xml-data/corpfiling/AttachHis/b0ce7707-d1f8-4936-ade8-08c738281625.pdf)
,5 May - The Company has arranged a Conference Call for the Audited Financial Results (Standalone and Consolidated) of the Company for the Quarter and Financial year ended …,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation 5 May - The Company has arranged a Conference Call for the Audited Financial Results (Standalone and Consolidated) of the Company for the Quarter and Financial year ended …](https://www.bseindia.com/xml-data/corpfiling/AttachLive/659a114d-e8fb-450f-aba0-fe3c2fb90c4c.pdf)
,5 May - Board meeting on 12 May 2026 to approve FY26 results and possibly recommend dividend.,"[Board Meeting Intimation for Inter-Alia, Consideration And Approval Of The Audited Financial Results (Standalone & Consolidated) Of The Company And Recommendation Of Dividend, If Any. 5 May - Board meeting on 12 May 2026 to approve FY26 results and possibly recommend dividend.](https://www.bseindia.com/xml-data/corpfiling/AttachLive/f82eef6a-a6ac-4e65-b4cd-3ff00194143b.pdf)"
,30 Mar - Subsidiary Dixon Display Technologies granted ECMS approval on 30-Mar-2026 to undertake display module sub-assembly.,[Announcement Under Regulation 30 Of SEBI LODR- Approval Received Under Electronics Component Manufacturing Scheme (ECMS) 30 Mar - Subsidiary Dixon Display Technologies granted ECMS approval on 30-Mar-2026 to undertake display module sub-assembly.](https://www.bseindia.com/xml-data/corpfiling/AttachHis/e66f20ab-a955-4667-ba3b-870bdb703469.pdf)
,"3 Mar - Dixon invested INR7.39 Cr, Longcheer INR2.60 Cr; JV consummated 3 Mar 2026; Dixon holds 74%.","[Announcement under Regulation 30 (LODR)-Acquisition 3 Mar - Dixon invested INR7.39 Cr, Longcheer INR2.60 Cr; JV consummated 3 Mar 2026; Dixon holds 74%.](https://www.bseindia.com/xml-data/corpfiling/AttachHis/f557188c-8e03-49e1-a183-df552018af68.pdf)"
,"3 Apr - Read with Para A and Part A of schedule III of the said regulations, please find enclosed herewith the details of scheduled Meeting(s) between the …","[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation 3 Apr - Read with Para A and Part A of schedule III of the said regulations, please find enclosed herewith the details of scheduled Meeting(s) between the …](https://www.bseindia.com/xml-data/corpfiling/AttachHis/b98fe91e-fcb6-4bda-b6dd-3faf74b0f228.pdf)"
